Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Athanael Duarte,LAA,A,21,0.1,0.0,27.00026956469727,0.0,27.00026956469727,0.0,0.125,-0.125,0.83333333,18.000179709798182,0.8,0.17857143,162.00161738818363,61.55156986685521,100.45004752132843,37.31140926888114,sa3019630
Eminen Flores,TOR,A+,23,16.2,7.559998558044708,7.019998661041515,1.07692308,0.5399998970031935,0.18918919,0.17567568,0.01351351,0.19672131,1.4999997138977597,0.23913043,0.6779661,4.8599990730287415,5.091417171478324,-0.2314180984495824,5.195826643579636,sa3019632
Jogly García,CLE,A+,22,45.2,8.080291070836081,6.897809450713727,1.17142857,1.5766421601631375,0.1943128,0.16587678,0.02843602,0.22941176,1.6204377757232247,0.25619835,0.58139535,6.897809450713727,7.122257685815059,-0.22444823510133194,7.09352947169316,sa3019633
Davis Polo,ATL,A,21,54.1,10.766872173554793,3.8098163075655425,2.82608696,0.9938651237127502,0.28761062,0.10176991,0.18584071,0.22222222,1.2331289497917457,0.2992126,0.6918239,4.306748869421917,4.2066249761014705,0.10012389332044691,4.187155616023374,sa3019637
Yordy Herrera,STL,"A,CPX",21,18.0,11.0,12.5,0.88,0.5,0.23157895,0.26315789,-0.03157895,0.16666667,2.0,0.23255814,0.59585492,7.0,7.0138292662261446,-0.013829266226144554,7.798996593583809,sa3019643
Ovis Portes,CIN,"A,A+",21,50.2,11.723683474962117,4.7960523306663205,2.44444444,1.065789406814738,0.27385892,0.1120332,0.16182573,0.27962085,1.6973683145568048,0.38129496,0.60794045,6.74999957649334,4.56812971635551,2.18186986013783,4.799883648047819,sa3019644
Luis Germán,SDP,A+,24,19.0,8.052631578947368,9.947368421052632,0.80952381,2.3684210526315788,0.1588785,0.19626168,-0.03738318,0.30952381,2.473684210526316,0.33870968,0.57142857,9.473684210526315,9.210233452445582,0.26345075808073304,8.211948543159584,sa3019658
Alfonso Perez,SFG,DSL,20,4.0,4.5,9.0,0.5,0.0,0.11764706,0.23529412,-0.11764706,0.15384615,1.5,0.18181818,0.83333333,2.25,6.584457111358643,-4.334457111358643,7.451808896660805,sa3019659
Albert Polanco,MIA,CPX,21,0.1,0.0,108.00107825878908,0.0,27.00026956469727,0.0,0.5,-0.5,1.0,24.00023961306424,1.0,0.60606061,108.00107825878908,79.12985121163264,28.871227047156438,44.43259217050869,sa3019660
Wuilliams Rodriguez,SEA,"A,CPX",22,19.1,15.362063818930752,6.98275628133216,2.2,0.931034170844288,0.36666667,0.16666667,0.2,0.18666667,1.4999994974713529,0.3,0.80152672,2.793102512532864,5.053300151041032,-2.2601976385081683,4.79520432243206,sa3019672
Jose Guedez,HOU,"A+,AA",24,32.2,7.438774786309341,4.408162836331461,1.6875,1.653061063624298,0.18,0.10666667,0.07333333,0.25954198,1.530612095948424,0.28571429,0.62780269,5.785713722685043,6.105452537425622,-0.3197388147405791,5.814763616285596,sa3019682
Julio Valdez,CHC,CPX,21,20.0,5.85,6.3,0.92857143,2.25,0.13,0.14,-0.01,0.31707317,2.0,0.328125,0.67567568,8.55,9.46766815185547,-0.9176681518554695,7.856679710000753,sa3019687
Gregori Louis,NYM,A+,23,21.0,12.0,7.285714285714286,1.64705882,0.0,0.28865979,0.17525773,0.11340206,0.21518987,1.619047619047619,0.33333333,0.71428571,3.857142857142857,3.4990738096691314,0.3580690474737258,5.311057324068887,sa3019699
Eudry Alcantara,CLE,A,21,25.1,11.368422479180596,8.881580061859841,1.28,2.131579214846362,0.25396825,0.1984127,0.05555556,0.24242424,1.9342107690272543,0.29508197,0.657277,7.460527251962267,7.367668336316218,0.09285891564604931,5.807316131335907,sa3019701
Eliseo Mota,DET,A,23,33.0,11.727272727272727,4.363636363636363,2.6875,0.5454545454545454,0.31386861,0.11678832,0.19708029,0.17647059,1.121212121212121,0.25675676,0.74585635,3.0,3.5652609044855295,-0.5652609044855295,3.7263586161714612,sa3019718
Michael Perez,MIA,"A,A+,AA",23,38.1,13.852175061779443,4.226087306983558,3.27777778,0.9391305126630131,0.36196319,0.11042945,0.25153374,0.22377622,1.3043479342541848,0.35,0.75431034,3.7565220506520522,3.671823296318696,0.08469875433335616,3.2999159030056284,sa3019721
Braian Salazar,SDP,A+,21,32.1,10.577321251516638,5.567011185008757,1.9,0.8350516777513135,0.26206897,0.13793103,0.12413793,0.22689076,1.4536084760856198,0.30769231,0.73770492,4.731959507257443,5.2151169942940685,-0.48315748703662553,5.925434951382817,sa3019741
Jose Gutierrez,KCR,A,23,60.2,8.604394883007437,2.670329446450584,3.22222222,1.0384614513974493,0.22924901,0.07114625,0.15810277,0.25641026,1.2857141779206513,0.31360947,0.72254335,3.560439261934112,4.145140349002672,-0.5847010870685598,3.986587657650596,sa3019742
Elvin Jimenez,MIA,CPX,21,7.1,11.045459333532218,12.272732592813576,0.9,0.0,0.25,0.27777778,-0.02777778,0.12,1.772728041184183,0.1875,0.64285714,3.6818197778440727,6.174557852942481,-2.4927380750984085,7.34812764401879,sa3019756
Carlos Cauro,HOU,A,21,1.2,0.0,5.399989314100431,0.0,5.399989314100431,0.0,0.11111111,-0.11111111,0.375,2.3999952507113025,0.28571429,1.0,5.399989314100431,13.217648868598385,-7.817659554497954,8.081041663348074,sa3019763
Keduar Trujillo,HOU,"A,A+",22,3.1,0.0,5.4000053429656445,0.0,2.7000026714828222,0.0,0.11111111,-0.11111111,0.4,2.400002374651397,0.35714286,0.52631579,13.50001335741411,10.203660805671383,3.296352551742727,10.616104265990511,sa3019764
Joel Hurtado,LAA,AA,25,64.1,7.554404742337142,2.7979276823470896,2.7,0.9792746888214814,0.20224719,0.07490637,0.12734082,0.218107,1.134715115618542,0.25274725,0.71428571,3.0777204505817988,4.5141489556602,-1.4364285050784016,4.481089470607905,sa3019774
Jesus Colina,CIN,CPX,21,16.2,10.79999794006387,2.159999588012774,5.0,0.5399998970031935,0.28571429,0.05714286,0.22857143,0.21538462,1.079999794006387,0.29545455,0.56818182,2.159999588012774,4.097668289184544,-1.9376687011717704,5.105680705807199,sa3019776
Juan Olmos,ATL,CPX,21,15.1,9.391306294836436,9.978262938263715,0.94117647,0.0,0.20253165,0.21518987,-0.01265823,0.26229508,2.15217435923335,0.35555556,0.5,8.217393007981883,5.563885326962452,2.6535076810194314,6.592884693657787,sa3019778
Daniel Guerra,TOR,A+,22,54.0,12.166666666666666,4.166666666666667,2.92,0.6666666666666666,0.32444444,0.11111111,0.21333333,0.21717172,1.2592592592592593,0.32231405,0.76086957,3.1666666666666665,3.410676705395734,-0.24401003872906735,3.7443017322708063,sa3019786
Bjay Cooke,OAK,"A,CPX",23,18.2,7.71428440055091,2.4107138751721595,3.2,2.4107138751721595,0.20779221,0.06493506,0.14285714,0.19444444,1.017856969517134,0.17647059,0.91666667,3.857142200275455,7.13671466866325,-3.2795724683877947,5.659226222372407,sa3019807
Braulio Salas,MIA,"A,A+",21,38.1,9.626088233760434,4.226087517260678,2.27777778,0.4695652796956309,0.25465839,0.11180124,0.14285714,0.20567376,1.2260871192052585,0.2755102,0.62770563,3.756522237565047,3.8618615261286786,-0.1053392885636315,4.828169343009776,sa3019820
Dale Stanavich,SFG,"AA,CPX",27,18.2,10.125003513216063,4.339287219949741,2.33333333,0.9642860488777203,0.27272727,0.11688312,0.15584416,0.23529412,1.3392861789968338,0.31111111,0.72072072,3.857144195510881,4.2414328032045745,-0.38428860769369333,4.355723541958315,sa3019833
Dylan Phillips,LAA,"A+,AAA",27,39.2,10.890755429728257,3.8571425480287576,2.82352941,1.1344536905966935,0.28402367,0.10059172,0.18343195,0.25165563,1.386554510729292,0.33673469,0.81632653,3.4033610717900804,4.343446814751075,-0.9400857429609943,4.076586673752061,sa3019862
Alexis Liebano,ARI,A,23,27.2,10.734938525586125,3.578312841862042,3.0,1.301204669768015,0.25384615,0.08461538,0.16923077,0.31355932,1.734939559690687,0.40740741,0.71428571,4.879517511630057,5.346181417352535,-0.46666390572247796,5.067154132469207,sa3019885
Kevin Kilpatrick Jr.,ATL,AA,25,2.0,9.0,4.5,2.0,4.5,0.2,0.1,0.1,0.33333333,2.0,0.33333333,0.38461538,13.5,9.659226608276366,3.8407733917236335,5.825421807169914,sa3019891
Ian Mejia,ATL,"A+,AA",26,31.1,8.042551559579817,6.0319136696848625,1.33333333,3.1595738269777853,0.17834395,0.13375796,0.04458599,0.29545455,1.9148932284713849,0.30107527,0.61728395,8.90425351239194,8.807339700623686,0.09691381176825331,6.503803121060237,sa3019911
Cade Fergus,PHI,AAA,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.4,0.5,9.0,3.552311134338379,5.447688865661621,5.423720610141754,sa3019919
Roman Phansalkar,LAA,AA,28,0.1,0.0,162.00161738818363,0.0,0.0,0.0,0.6,-0.6,0.5,21.00020966143121,0.5,0.55555556,108.00107825878908,75.6599454474691,32.34113281131998,80.99238908318964,sa3019949
Evan Taylor,CHC,AA,26,31.0,13.064516129032258,5.516129032258065,2.36842105,0.2903225806451613,0.32846715,0.13868613,0.18978102,0.20689655,1.3870967741935485,0.32857143,0.77981651,2.6129032258064515,3.207613705050561,-0.5947104792441094,3.9923470206799045,sa3019950
Jared Southard,LAA,AAA,25,40.1,7.809918340247079,4.2396699561341284,1.84210526,0.8925620960282376,0.19125683,0.10382514,0.08743169,0.27672956,1.5619836680494157,0.33333333,0.75320513,4.685951004148247,5.332606781585081,-0.646655777436834,5.342658982551398,sa3019951
Cameron Wagoner,MIL,AA,25,18.1,12.76363857679169,1.9636367041217984,6.5,0.9818183520608992,0.35616438,0.05479452,0.30136986,0.15625,0.763636496047366,0.22222222,0.98765432,1.4727275280913488,3.7137720722797507,-2.241044544188402,3.6529259811660375,sa3019952
Max Gieg,LAA,A+,25,29.2,11.831459406364162,11.224717898345487,1.05405405,1.21348301603735,0.25,0.23717949,0.01282051,0.23684211,2.1573031396219555,0.32394366,0.63091483,8.797751866270787,7.0222036017957805,1.775548264475006,6.697865035171178,sa3019954
