Player,Block_Franchise,Block_Type,name_norm,Player Name,Franchise,Contract Type,Salary,Contract Length,Contract Starts,Contract Ends,2025 Salary Hit,Name,Team,WAR,FPTS,Player_Type
Chandler Simpson,Ross & Jack Kantor,Full,chandler simpson,Chandler Simpson,Ross & Jack Kantor, YP Contract , YP ,YP,2025.0,2027.0," $ 500,000 ",Chandler Simpson,TBR,0.798652,331.4,Batter
Edwin Diaz,Ross & Jack Kantor,Partial,edwin diaz,Edwin Diaz,Ross & Jack Kantor, FA Contract ," $ 5,300,000 ",4,2024.0,2027.0," $ 5,300,000 ",Edwin Díaz,HOU,0.00081962,-1.0,Batter
Edwin Diaz,Ross & Jack Kantor,Partial,edwin diaz,Edwin Diaz,Ross & Jack Kantor, FA Contract ," $ 5,300,000 ",4,2024.0,2027.0," $ 5,300,000 ",Edwin Díaz,LAD,1.14534,570.5000000000001,Pitcher
Nolan McLean,Ross & Jack Kantor,Partial,nolan mclean,Nolan McLean,Ross & Jack Kantor, Minors , YP ,YP,,, $ -   ,Nolan McLean,NYM,2.20424,696.5000000000001,Pitcher
Trea Turner,Ross & Jack Kantor,Partial,trea turner,Trea Turner,Ross & Jack Kantor, FA Contract ," $ 17,800,000 ",3,2024.0,2026.0," $ 17,800,000 ",Trea Turner,PHI,3.94761,760.2,Batter
Jurickson Profar,Ross & Jack Kantor,Partial,jurickson profar,Jurickson Profar,Ross & Jack Kantor, FA Contract ," $ 6,300,000 ",3,2025.0,2027.0," $ 6,300,000 ",Jurickson Profar,ATL,1.61974,710.2,Batter
Logan Gilbert,Ross & Jack Kantor,Partial,logan gilbert,Logan Gilbert,Ross & Jack Kantor, FA Contract ," $ 13,800,000 ",5,2024.0,2028.0," $ 13,800,000 ",Logan Gilbert,SEA,3.16617,824.7000000000002,Pitcher
Griffin Jax,Ross & Jack Kantor,Partial,griffin jax,Griffin Jax,Ross & Jack Kantor, FA Contract ," $ 4,400,000 ",2,2025.0,2026.0," $ 4,400,000 ",Griffin Jax,TBR,1.00983,462.0999999999999,Pitcher
Aaron Judge,JD Barnett,Full,aaron judge,Aaron Judge,JD Barnett, FA Contract ," $ 26,800,000 ",5,2024.0,2028.0," $ 26,800,000 ",Aaron Judge,NYY,6.8167,1152.6,Batter
Kyle Schwarber,JD Barnett,Full,kyle schwarber,Kyle Schwarber,JD Barnett, FA Contract ," $ 5,200,000 ",2,2025.0,2026.0," $ 5,200,000 ",Kyle Schwarber,PHI,2.79986,891.7,Batter
Pete Crow-Armstrong,JD Barnett,Full,pete crow-armstrong,Pete Crow-Armstrong,JD Barnett, YP Contract , YP ,YP,2024.0,2026.0," $ 1,000,000 ",Pete Crow-Armstrong,CHC,3.52034,600.6,Batter
