Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Victor Caratini","MIN",72,295,257,60,46,8,0,6,24,32,23,0,53,10,4,0,,1,0,0.234605,0.0796831,0.178307,0.446886,0.318297,0.338569,0.294769,0.656866,0.103964,1.7632,0.267643,0,-0.38285,30.45,-4.37588,86.8412,-0.38285,0.701309,-4.954033046960831,2.3872652649879456,0.775873,681.02001953125,,,,,,,259.5,3.604166666,259.5,3.604166666,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Nolan Schanuel","LAA",97,417,364,94,68,17,1,8,47,43,42,1,61,6,3,2,,4,1,0.258904,0.101686,0.145763,0.697613,0.344156,0.378898,0.320407,0.723053,0.119994,3.23177,0.288495,0,-0.471314,51.8114,2.49147,104.082,-0.471314,-0.982226,1.5368497967720032,-8.435929596424103,0.764825,594.6599731445312,,,,,,,441.4,4.550515463,441.4,4.550515463,,,,,,,,,,,,,,,,,,,"Nolan Schanuel","33189",694384
"Nathan Lukes","TOR",39,170,153,41,29,8,1,3,20,21,13,0,27,2,1,1,,2,1,0.267957,0.0775208,0.156504,0.495327,0.332435,0.390858,0.317213,0.723293,0.122901,3.78773,0.304464,0,-0.576027,20.7117,0.575324,103.664,-0.576027,3.02333,0.1598663330078125,1.4122236967086792,0.761299,999,,,,,,,179.7,4.607692307,179.7,4.607692307,,,,,,,,,,,,,,,,,,,"Nathan Lukes","18123",664770
"Leody Taveras","BAL",43,184,166,42,29,7,1,4,23,20,15,0,38,1,1,1,,8,2,0.252585,0.0797679,0.205323,0.388499,0.313363,0.384126,0.305766,0.697489,0.131541,6.47309,0.303212,0,0.547893,20.6362,-1.08808,96.6189,0.547893,0.634668,-0.1847773790359497,1.2913036346435547,0.761014,999,,,,,,,190.4,4.427906976,190.4,4.427906976,,,,,,,,,,,,,,,,,,,"Leody Taveras","18900",665750
"Jesus Rodriguez","SFG",47,189,172,47,36,7,1,2,20,19,14,0,30,2,1,0,,5,2,0.272895,0.0751474,0.158514,0.474074,0.333634,0.366691,0.309516,0.700326,0.0937961,4.77591,0.316815,0,-0.24476,21.7688,-0.542549,100.007,-0.24476,-1.1889,-0.24318238184787333,1.3844003677368164,0.759959,999,,,,,,,187.9,3.99787234,187.9,3.99787234,,,,,,,,,,,,,,,,,,,"Jesus Rodriguez","26991",683679
"Nick Fortes","TBR",60,236,215,51,38,8,0,5,23,23,13,0,38,5,1,2,,1,1,0.236364,0.0540549,0.160243,0.337331,0.293503,0.340184,0.281309,0.633687,0.103821,2.6128,0.265149,0,-0.375319,21.7777,-6.07604,77.4446,-0.375319,1.31297,-6.642090946435928,5.917137145996094,0.756408,999,,,,,,,193.9,3.231666666,193.9,3.231666666,,,,,,,,,,,,,,,,,,,"Nick Fortes","21538",663743
"Esteury Ruiz","MIA",30,129,113,28,18,6,1,3,19,16,11,0,28,4,1,1,,13,2,0.248243,0.0830881,0.219929,0.377796,0.331755,0.400281,0.322437,0.732036,0.152039,8.11253,0.303444,0,1.31358,16.2498,0.984074,105.123,1.31358,0.999096,2.098123550415039,0.9636024311184883,0.753336,748.530029296875,,,,,,,159.2,5.306666666,159.2,5.306666666,,,,,,,,,,,,,,,,,,,"Esteury Ruiz","21780",665923
"Angel Martínez","CLE",80,345,314,76,47,18,2,9,41,40,20,0,75,5,2,4,,7,3,0.241643,0.0569634,0.216176,0.263505,0.294539,0.398782,0.301299,0.693321,0.157138,5.22004,0.286013,0,-0.186415,37.4513,-3.29118,93.282,-0.186415,1.13614,-2.916639283299446,-1.6786761283874512,0.744757,748.5800170898438,,,,,,,339.7,4.24625,339.7,4.24625,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
"Daniel Susac","SFG",51,200,186,46,32,8,1,5,17,25,10,0,54,2,1,0,,2,1,0.245257,0.051914,0.271971,0.190881,0.291727,0.37421,0.290846,0.665937,0.128952,3.65417,0.319804,0,-0.442396,20.0154,-3.60449,87.2176,-0.442396,0.130213,-3.4708493649959564,4.034533739089966,0.738592,999,,,,,,,184.5,3.617647058,184.5,3.617647058,,,,,,,,,,,,,,,,,,,"Daniel Susac","31441",691740
"Daniel Schneemann","CLE",57,246,220,51,31,12,1,6,29,26,24,0,68,1,1,0,,5,2,0.230591,0.0965681,0.276599,0.349127,0.306841,0.38258,0.303009,0.689421,0.151989,4.8972,0.301825,0,-0.176716,27.0928,-2.00899,94.4596,-0.176716,0.936277,-1.785019889473915,0.5140549540519714,0.737761,999,,,,,,,241.4,4.235087719,241.4,4.235087719,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"Dylan Beavers","BAL",49,214,186,46,30,9,1,6,28,24,24,0,50,1,1,1,,6,2,0.247195,0.112502,0.234486,0.479779,0.334446,0.405941,0.324595,0.740386,0.158746,5.48494,0.305218,0,0.00988707,27.2491,2.00203,109.59,0.00988707,-0.923882,2.424964281730354,-2.5743448138237,0.737568,505.0400085449219,,,,,,,240.6,4.910204081,240.6,4.910204081,,,,,,,,,,,,,,,,,,,"Dylan Beavers","31695",687637
"Sung-Mun Song","SDP",48,206,186,45,32,8,1,5,23,21,18,1,38,0,1,0,,4,0,0.242327,0.086345,0.185419,0.465674,0.307711,0.368662,0.295188,0.676373,0.126335,5.2721,0.280581,0,0.402636,21.301,-2.98111,91.5372,0.402636,1.23657,-1.658615529537201,1.934719204902649,0.72826,999,,,,,,,203.5,4.239583333,203.5,4.239583333,,,,,,,,,,,,,,,,,,,"Sung-Mun Song","37122",823550
"Michael Massey","KCR",83,358,334,81,53,18,1,10,36,41,17,0,69,4,3,1,,3,1,0.243083,0.0469956,0.192221,0.244487,0.284393,0.387945,0.291521,0.672338,0.144862,3.60633,0.276995,0,-0.390614,36.0188,-6.2554,82.3447,-0.390614,1.43029,-7.835572957992554,2.5660955905914307,0.721456,999,,,,,,,337.4,4.06506024,337.4,4.06506024,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
