Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ryan Webb","CLE",0,1,,4.54369,2,2,0,0,,8,37,8,5,4,1,4,,1,7,7.68932,4.1068,1.87234,1.2233,0.191304,0.102174,0.08913043141365051,0.251852,1.4466,0.290429,0.718702,,,4.79533,0.0410082,-0.012187,999,,,,,,,25.100000000000005,3.1375000000000006,26,3.25,,,,,,,,,,,,,,,,,,,"Ryan Webb","sa3018280",669067
"Ryan Fernandez","STL",3,3,,4.13969,40,0,0,1,,40,172,36,20,18,5,18,,1,43,9.65928,3.98637,2.42308,1.07325,0.249012,0.102767,0.1462450623512268,0.234513,1.34583,0.294872,0.722543,,,3.91878,0.0406717,-0.0130313,999,,,,,,,173.9,4.3475,168,4.2,,,,,,,,,,,,,,,,,,,"Ryan Fernandez","24862",681676
"Pete Hansen","STL",0,0,,4.68908,2,2,0,0,,8,37,9,5,4,1,3,,0,6,6.27731,2.72269,2.30556,1.36134,0.159309,0.0690979,0.09021112322807312,0.26875,1.38655,0.292876,0.701001,,,4.74018,0.0394412,-0.00581692,999,,,,,,,26.500000000000007,3.312500000000001,30,3.75,,,,,,,,,,,,,,,,,,,"Pete Hansen","sa3020798",677337
"Bryse Wilson","PHI",1,1,,4.91081,13,2,0,1,,21,90,22,12,11,3,7,,1,15,6.32739,2.83316,2.23333,1.41658,0.162621,0.0728155,0.08980583399534225,0.26455,1.36411,0.287162,0.678899,,,4.84552,0.0392065,0.0271631,999,,,,,,,71.3,3.395238095238095,76,3.619047619047619,,,,,,,,,,,,,,,,,,,"Bryse Wilson","19990",669060
"Jack Perkins","ATH",1,1,,3.93682,24,0,0,1,,24,102,20,11,10,3,10,,2,25,9.51397,3.82746,2.48571,0.984204,0.249284,0.100287,0.14899712055921555,0.224026,1.26367,0.283019,0.71116,,,3.93708,0.0390307,0.0314368,999,,,,,,,106.70000000000002,4.445833333333334,99,4.125,,,,,,,,,,,,,,,,,,,"Jack Perkins","31468",678022
"Codi Heuer","CLE",2,1,,3.71739,30,0,0,1,,30,131,28,14,12,4,12,,2,31,9.3913,3.52174,2.66667,1.17391,0.238806,0.0895522,0.1492537334561348,0.238889,1.32609,0.293651,0.760456,,,4.1134,0.0376245,0.0145778,999,,,,,,,124.00000000000001,4.133333333333334,122,4.066666666666666,,,,,,,,,,,,,,,,,,,"Codi Heuer","23293",676051
"Justin Bruihl","STL",3,3,,4.26035,54,0,0,10,,54,236,50,28,26,5,21,,6,49,8.16568,3.5503,2.3,0.887574,0.207207,0.0900901,0.11711711436510086,0.239796,1.3215,0.289655,0.683333,,,4.14105,0.0368996,-0.0263105,999,,,,,,,265.1,4.90925925925926,262,4.851851851851852,,,,,,,,,,,,,,,,,,,"Justin Bruihl","23779",677865
"Luis Gastelum","STL",2,1,,3.96825,28,0,0,1,,28,120,26,13,12,3,9,,1,28,9.04762,2.85714,3.16667,1.11111,0.235537,0.0743802,0.16115702688694,0.235294,1.23457,0.286624,0.714286,,,3.8406,0.0361945,0.022113,999,,,,,,,132.70000000000005,4.739285714285716,131,4.678571428571429,,,,,,,,,,,,,,,,,,,"Luis Gastelum","sa3020964",703725
"Trevor Williams","WSN",1,2,,4.93151,24,2,0,1,,30,133,34,18,16,5,10,,1,23,6.9863,2.87671,2.42857,1.36986,0.175258,0.072165,0.10309278964996338,0.276119,1.44597,0.309179,0.691358,,,4.61154,0.0355499,-0.0559531,999,,,,,,,89.1,2.9699999999999998,102,3.4,,,,,,,,,,,,,,,,,,,"Trevor Williams","16977",592866
"JT Brubaker","SFG",2,2,,4.37143,57,0,0,12,,57,252,58,30,28,7,22,,3,47,7.45714,3.47143,2.14815,1.02857,0.187702,0.0873786,0.1003236323595047,0.255396,1.4,0.29717,0.702765,,,4.29228,0.0354614,-0.0649324,999,,,,,,,251.89999999999992,4.4192982456140335,261,4.578947368421052,,,,,,,,,,,,,,,,,,,"JT Brubaker","17578",664141
"Anthony Nunez","BAL",2,2,,3.95793,25,0,0,1,,25,106,21,12,11,3,10,,2,28,9.98088,3.61377,2.7619,1.0325,0.261261,0.0945946,0.1666666865348816,0.22449,1.24283,0.287879,0.706714,,,3.89995,0.0348096,0.000679045,999,,,,,,,117.5,4.7,110,4.4,,,,,,,,,,,,,,,,,,,"Anthony Nunez","25796",689296
"Hayden Harris","ATL",3,3,,3.99577,50,0,0,6,,50,214,42,24,22,6,20,,4,58,10.4651,3.61522,2.89474,1.14165,0.272277,0.0940594,0.1782178357243538,0.223464,1.24736,0.288136,0.711462,,,3.91738,0.0346857,0.034601,999,,,,,,,255,5.1,240,4.8,,,,,,,,,,,,,,,,,,,"Hayden Harris","31913",802686
"Manuel Rodríguez","TBR",1,1,,3.97674,16,0,0,1,,16,68,15,8,7,1,6,,1,14,7.95349,3.13953,2.53333,0.837209,0.208791,0.0824176,0.12637363374233246,0.239264,1.25581,0.289256,0.681818,,,3.90258,0.0346818,-0.00384563,999,,,,,,,78.10000000000001,4.8812500000000005,78,4.875,,,,,,,,,,,,,,,,,,,"Manuel Rodriguez","20794",655889
"Kyle Backhus","PHI",5,4,,4.32,52,0,0,7,,52,227,48,27,25,6,21,,4,53,9.18,3.6,2.55,1.08,0.233945,0.0917431,0.14220183342695236,0.237113,1.32,0.291971,0.694444,,,4.09514,0.0344742,-0.0167806,999,,,,,,,245.2,4.7153846153846155,241,4.634615384615385,,,,,,,,,,,,,,,,,,,"Kyle Backhus","29615",679775
"Ricky Tiedemann","TOR",1,1,,4.60465,10,2,0,1,,14,65,12,8,7,2,8,,2,14,9,5.02326,1.79167,1.04651,0.222798,0.124352,0.0984455868601799,0.226994,1.4186,0.278261,0.685185,,,4.73979,0.0342304,-0.0357992,999,,,,,,,49.800000000000026,3.557142857142859,46,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Ricky Tiedemann","sa3018096",694357
"Peyton Gray","TEX",3,4,,4.30622,34,0,0,1,,34,145,31,17,16,5,12,,1,35,9.33014,3.15789,2.95455,1.29187,0.242537,0.0820896,0.16044774651527405,0.233607,1.25997,0.282353,0.707831,,,4.07613,0.0336843,-0.020239,999,,,,,,,144.50000000000003,4.250000000000001,140,4.117647058823529,,,,,,,,,,,,,,,,,,,"Peyton Gray","sa3008046",682608
"Grant Anderson","MIL",3,4,,4.14286,56,0,0,10,,56,241,50,28,26,8,22,,4,59,9.42857,3.57143,2.64,1.28571,0.243542,0.0922509,0.15129152685403824,0.231405,1.28571,0.281437,0.730994,,,4.27799,0.0334816,0.0767521,999,,,,,,,266.0000000000001,4.750000000000002,256,4.571428571428571,,,,,,,,,,,,,,,,,,,"Grant Anderson","20546",681982
"John Klein","MIN",3,3,,4.67656,34,2,0,1,,41,180,41,23,21,6,15,,4,34,7.53977,3.24496,2.32353,1.24072,0.190361,0.0819277,0.10843373090028763,0.256065,1.36797,0.293907,0.685921,,,4.65157,0.0323952,-0.0120541,999,,,,,,,138.00000000000003,3.365853658536586,142,3.4634146341463414,,,,,,,,,,,,,,,,,,,"John Klein","sa3020405",804619
"Jean Cabrera","PHI",0,1,,5.21619,2,2,0,0,,8,37,9,5,5,1,3,,1,6,6.95492,3.64305,1.90909,1.40754,0.172485,0.0903491,0.08213552832603455,0.263761,1.46274,0.292537,0.673077,,,5.03026,0.0320341,0.0121836,999,,,,,,,23.500000000000007,2.937500000000001,27,3.375,,,,,,,,,,,,,,,,,,,"Jean Cabrera","sa3015433",691893
"Easton McGee","MIL",2,2,,3.91935,34,0,0,1,,34,142,31,16,15,4,9,,2,29,7.54839,2.46774,3.05882,1.01613,0.200772,0.0656371,0.13513512909412384,0.239496,1.19355,0.27933,0.700935,,,3.94159,0.0317787,0.0272221,999,,,,,,,150.80000000000004,4.43529411764706,147,4.323529411764706,,,,,,,,,,,,,,,,,,,"Easton McGee","22176",668834
"José Fermin","LAA",2,2,,4.39791,26,0,0,1,,26,110,23,14,13,3,12,,1,27,9.26702,4.08377,2.26923,1.09948,0.242798,0.106996,0.1358024701476097,0.232558,1.32635,0.288591,0.694864,,,4.1299,0.03149,-0.035627,999,,,,,,,114.7,4.411538461538462,110,4.230769230769231,,,,,,,,,,,,,,,,,,,"Jose Fermin","33908",820862
"Tyler Ferguson","ATH",3,3,,4.52188,52,0,0,7,,52,228,46,29,26,5,26,,4,51,8.75203,4.52188,1.93548,0.875203,0.222222,0.114815,0.10740741342306137,0.230769,1.37763,0.285714,0.665796,,,4.20483,0.0313711,-0.0876384,999,,,,,,,243.70000000000002,4.686538461538462,235,4.519230769230769,,,,,,,,,,,,,,,,,,,"Tyler Ferguson","19481",621053
"Casey Legumina","SEA",4,4,,4.18966,50,0,0,4,,50,216,47,25,23,6,20,,3,48,8.68966,3.56897,2.43478,1.08621,0.223108,0.0916335,0.1314741149544716,0.24,1.32759,0.290123,0.714286,,,4.1179,0.0311482,-0.0804785,999,,,,,,,217,4.34,215,4.3,,,,,,,,,,,,,,,,,,,"Casey Legumina","25921",668984
"Evan Sisk","PIT",1,2,,4,40,0,0,1,,40,175,36,19,18,4,19,,3,39,8.83333,4.16667,2.12,0.833333,0.224576,0.105932,0.11864406615495682,0.236715,1.37037,0.295302,0.716418,,,3.98699,0.0298407,0.0418728,999,,,,,,,169.20000000000002,4.23,164,4.1,,,,,,,,,,,,,,,,,,,"Evan Sisk","24995",681895
"Chase Lee","TOR",1,1,,3.9,28,0,0,1,,28,118,26,13,12,4,8,,2,28,8.85,2.7,3.27778,1.2,0.233202,0.0711462,0.1620553359389305,0.238095,1.21667,0.286585,0.728155,,,4.0018,0.0290507,0.0180891,999,,,,,,,120.40000000000006,4.3000000000000025,118,4.214285714285714,,,,,,,,,,,,,,,,,,,"Chase Lee","29574",695445
"Welinton Herrera","COL",3,3,,4.37601,34,0,0,1,,34,150,33,18,17,4,14,,3,34,8.89789,3.64668,2.44,1.16694,0.224265,0.0919118,0.13235293328762054,0.247934,1.37763,0.300578,0.718157,,,4.30207,0.0276284,0.0363367,999,,,,,,,137.60000000000002,4.0470588235294125,139,4.088235294117647,,,,,,,,,,,,,,,,,,,"Welinton Herrera","sa3016061",700327
"Ryan Watson","BOS",3,2,,4.1791,42,0,0,1,,42,182,42,21,20,5,14,,2,34,7.31343,2.98507,2.45,1.04478,0.187739,0.0766283,0.1111111119389534,0.256303,1.34328,0.296703,0.716292,,,4.16333,0.0268324,0.010384,999,,,,,,,164.10000000000002,3.9071428571428575,169,4.023809523809524,,,,,,,,,,,,,,,,,,,"Ryan Watson","27853",670245
"Antonio Senzatela","COL",5,8,,5.55448,60,8,0,6,,95,437,118,63,58,15,34,,5,55,5.20733,3.21119,1.62162,1.38862,0.125,0.0770833,0.04791666567325592,0.294521,1.60077,0.312155,0.675487,,,5.19878,0.0268111,0.0997967,999,,,,,,,228.7,2.4073684210526314,297,3.126315789473684,,,,,,,,,,,,,,,,,,,"Antonio Senzatela","15488",622608
"Gunnar Hoglund","ATH",3,4,,5,28,6,0,1,,55,238,59,33,30,10,16,,3,39,6.375,2.625,2.42857,1.625,0.163462,0.0673077,0.09615384787321091,0.268293,1.36111,0.286996,0.689223,,,5.10736,0.0242745,0.0306606,999,,,,,,,155.6,2.829090909090909,170,3.090909090909091,,,,,,,,,,,,,,,,,,,"Gunnar Hoglund","31318",680684
"Andrew Morris","MIN",1,1,,4.15246,24,0,0,1,,24,103,25,12,11,3,7,,1,19,7.13139,2.52758,2.82143,1.08325,0.185012,0.0655738,0.11943794041872025,0.257576,1.30391,0.295082,0.706714,,,4.04787,0.0234609,-0.00622171,999,,,,,,,93.70000000000002,3.9041666666666672,99,4.125,,,,,,,,,,,,,,,,,,,"Andrew Morris","sa3020569",702193
"Craig Yoho","MIL",3,2,,4.05253,42,0,0,1,,42,180,35,20,19,5,19,,4,46,9.79362,4.05253,2.41667,1.01313,0.253275,0.104803,0.14847160875797272,0.22,1.2758,0.279412,0.704698,,,4.05446,0.0230725,0.0263642,999,,,,,,,185.3,4.411904761904762,172,4.095238095238095,,,,,,,,,,,,,,,,,,,"Craig Yoho","33248",684974
"Sean Guenther","DET",1,1,,4.02128,13,0,0,1,,13,56,13,6,6,1,4,,1,9,6.51064,2.48936,2.61538,0.957447,0.168317,0.0643564,0.10396039485931396,0.256684,1.29787,0.290541,0.703704,,,4.02875,0.0224353,0.0111145,999,,,,,,,57.10000000000001,4.392307692307693,59,4.538461538461538,,,,,,,,,,,,,,,,,,,"Sean Guenther","20045",674944
"Dax Fulton","MIA",2,2,,4.68367,20,2,0,1,,26,117,26,15,13,3,13,,2,21,7.34694,4.40816,1.66667,1.10204,0.180995,0.108597,0.07239819318056107,0.255155,1.5,0.293919,0.706605,,,4.74738,0.021654,0.0822341,999,,,,,,,88.9,3.4192307692307695,92,3.5384615384615383,,,,,,,,,,,,,,,,,,,"Dax Fulton","sa3014535",690978
"DL Hall","MIL",2,2,,4.14286,52,0,0,6,,52,227,46,26,24,6,25,,2,52,9,4.28571,2.1,1,0.229091,0.109091,0.11999998986721039,0.231405,1.36508,0.284884,0.721785,,,4.15101,0.0215667,-0.00548938,999,,,,,,,238.4,4.584615384615384,229,4.403846153846154,,,,,,,,,,,,,,,,,,,"DL Hall","22207",669084
"Colin Holderman","CLE",3,2,,4.02128,42,0,0,1,,42,183,38,21,19,4,18,,4,41,8.80851,3.82979,2.3,0.957447,0.22439,0.097561,0.12682926654815674,0.237569,1.34043,0.292308,0.714286,,,4.09258,0.020727,-0.0235331,999,,,,,,,182.8,4.352380952380953,178,4.238095238095238,,,,,,,,,,,,,,,,,,,"Colin Holderman","22361",670059
"James McArthur","KCR",1,1,,4.30435,20,0,0,1,,20,88,20,10,10,2,7,,1,18,8.21739,3.32609,2.47059,0.978261,0.206897,0.0837438,0.1231527179479599,0.245902,1.34783,0.294118,0.690909,,,4.02644,0.0201151,0.00154317,999,,,,,,,87.4,4.37,90,4.5,,,,,,,,,,,,,,,,,,,"James McArthur","21527",663704
"Joe Jiménez","ATL",1,1,,4.22976,16,0,0,1,,16,69,14,8,8,2,6,,1,18,10.3394,3.5248,2.93333,1.17493,0.266667,0.0909091,0.17575755715370178,0.22973,1.27937,0.292929,0.714286,,,3.86621,0.0195436,0.0013318,999,,,,,,,76.4,4.775,73,4.5625,,,,,,,,,,,,,,,,,,,"Joe Jimenez","15761",641729
