"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SB","AVG","OBP","SLG","GP"
"*06rim*","Daniel Campos","CHC","C","191","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rjw*","Diego Campos","(N/A)","C","192","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06o0g*","Ryan Campos","STL","C","193","FA","23","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*06jbi*","Justin Capellan","NYY","C","194","FA","19","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rp3*","Heriberto Caraballo","STL","C","195","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ya5*","Miguel Caraballo","MIN","C","196","FA","17","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05y2j*","Noah Cardenas","MIN","C","197","FA","26","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*0622v*","Michael Carico","CHC","C","198","FA","23","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*072o2*","Juan Caricote","TOR","C","199","FA","17","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06k7s*","Easton Carmichael","PIT","C","200","FA","22","100,000","A","0","0","-","4%","0%","0","0","0","0","0","0","0","0","0"
"*06iew*","Hunter Carns","(N/A)","C","201","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06oo3*","Josh Caron","SEA","C","202","FA","22","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*04p0h*","Diego Cartaya","SF","C","203","FA","24","100,000","A","0","0","-","11%","0%","0","0","0","0","0","0","0","0","0"
"*02bxm*","Curt Casali","(N/A)","C","204","FA","37","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06quz*","Yanuel Casiano","CIN","C","205","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qnh*","Connor Caskenette","MIA","C","206","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rk4*","Alejandro Castellano","HOU","C","207","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ri2*","Juan Castillo","COL","C","208","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05rhs*","Kenny Castillo","ARI","C","209","FA","22","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rnj*","Jesus Castro","SD","C","210","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hps*","Drew Cavanaugh","SF","C","211","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*062hm*","Jose Cedeno","(N/A)","C","212","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*038hy*","Juan Centeno","(N/A)","C","213","FA","36","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05m6g*","Christian Cerda","ARI","C","214","FA","23","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06hwf*","Brady Cerkownyk","DET","C","215","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rio*","Ivan Cespedes","CHC","C","216","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0669x*","Connor Charping","SEA","C","217","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rsz*","Isais Chavez","MIL","C","218","FA","17","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05r14*","Santiago Chavez","(N/A)","C","219","FA","30","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rhb*","Nixon Chirinos","MIA","C","220","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rpe*","Levi Clark","(N/A)","C","221","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*065v8*","Logun Clark","CLE","C","222","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0516p*","Phil Clarke","TOR","C","223","FA","27","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*0664h*","Nick Clarno","ATL","C","224","FA","27","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*04i9p*","Hendrik Clementina","(N/A)","C","225","FA","28","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*041xi*","Gavin Collins","(N/A)","C,3B","226","FA","30","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06zdg*","Jack Collins","TEX","C","227","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06gvf*","Cole Conn","ATH","C","228","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*052c2*","Jose Cordova","COL","C,1B","229","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06o0n*","Luis Corobo","MIL","C","230","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qkc*","Jorge Corona","CHW","C","231","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*066lz*","Andrew Cossetti","MIN","C","232","FA","26","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06er6*","Jacob Cozart","CLE","C","233","FA","23","100,000","A","0","0","-","5%","0%","0","0","0","0","0","0","0","0","0"
"*06zay*","Will Cresswell","TOR","C","234","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05yno*","Josh Crouch","LAA","C","235","FA","27","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ui8*","Rey Cruz","PHI","C","236","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qjj*","Gio Cueto","LAD","C","237","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*04pua*","Nick Dalesandro","(N/A)","C,LF,OF","239","FA","29","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06if2*","Pedro Dalmagro","CLE","C","240","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qsf*","Gabriel Davalillo","LAA","C","241","FA","18","100,000","A","0","0","-","16%","+1%","0","0","0","0","0","0","0","0","0"
"*06ppt*","Luke Davis","PHI","C,1B","242","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06agg*","Sebastian De Andrade","SEA","C","243","FA","19","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rkm*","Jose De La Cruz","COL","C","244","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*060yu*","Michael De La Cruz","(N/A)","C","245","FA","32","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ril*","Abel De Leon","(N/A)","C","246","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rjg*","Adrian De Leon","ARI","C","247","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06y9p*","Luis De Leon","HOU","C","248","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06sum*","Carlos De Sousa","TB","C","249","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06bs5*","Enderson Delgado","DET","C","250","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06sut*","Nicolas Deschamps","TOR","C","251","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06o02*","Khadim Diaw","MIN","C","252","FA","22","100,000","A","0","0","-","5%","0%","0","0","0","0","0","0","0","0","0"
"*06con*","Angel Diaz","LAD","C","253","FA","21","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05m6d*","Blayberg Diaz","MIL","C","254","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05yh4*","Davis Diaz","ATH","C","255","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06riq*","Jairo Diaz","CHC","C","256","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*066k6*","Nomar Diaz","SF","C","257","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rir*","Yidel Diaz","(N/A)","C","258","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*04ydk*","Dawson Dimon","(N/A)","C","259","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06o0e*","Marco Dinges","MIL","C","260","FA","22","100,000","A","0","0","-","19%","+2%","0","0","0","0","0","0","0","0","0"
"*0668a*","Jordan Dissin","PHI","C","261","FA","23","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06qk6*","Hunter Dobbins","DET","C","262","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*066rv*","Miguel Dominguez","(N/A)","C","263","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06r3r*","Brody Donay","TB","C,1B","264","FA","22","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rj1*","Matt Donlan","BOS","C","265","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0520t*","J.J. DOrazio","LAA","C","238","FA","24","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rj9*","Manuel Dos Passos","ATL","C","266","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rni*","Jhojan Downer","SD","C","267","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0512b*","Logan Driscoll","(N/A)","C","268","FA","28","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05ra1*","Hayden Dunhurst","(N/A)","C","269","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06626*","Alfredo Duno","CIN","C","270","Kai","20","500,000","A","0","0","-","52%","+3%","0","0","0","0","0","0","0","0","0"
"*065s0*","Edinson Duran","NYY","C","271","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05xyq*","Edward Duran","TOR","C","272","FA","21","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*04yj5*","Rodolfo Duran","SD","C","273","FA","27","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06qsp*","Brendan Durfee","SD","C","274","FA","24","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*051jk*","Ty Duvall","MIL","C","275","FA","28","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qip*","Connor Dykstra","SEA","C","276","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hs4*","Weston Eberly","CHW","C","277","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qit*","Matthew Ellis","SEA","C","278","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hgy*","Cole Elvis","(N/A)","C","279","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05r9y*","Rob Emery","(N/A)","C","280","FA","29","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06sbj*","Myles Emmerson","LAA","C","281","FA","27","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05jqu*","Kale Emshoff","TEX","C,1B","282","FA","27","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05u1q*","Samuel Escudero","PIT","C","283","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qod*","Alan Espinal","COL","C","284","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qxw*","Francisco Espinoza","LAD","C","285","FA","18","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*06qj1*","Christian Fagnant","WSH","C","286","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0669m*","Caleb Farmer","WSH","C","287","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qxm*","Zac Fascia","(N/A)","C","288","FA","27","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*041qj*","Mario Feliciano","(N/A)","C","289","FA","27","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rjd*","Johan Fernandez","ARI","C","290","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*048tm*","Juan Fernandez","SD","C","291","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*031d2*","Xavier Fernandez","(N/A)","C","292","FA","30","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05adw*","Yeiner Fernandez","LAD","C,2B,3B","293","FA","23","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06mcb*","Alirio Ferrebus","PHI","C,1B","294","FA","20","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*062e6*","Jaime Ferrer","MIN","C,1B,RF,OF","295","FA","23","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*06pq8*","Dylan Fien","ATH","C","296","FA","20","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06z67*","Edgardo Figueroa","WSH","C","297","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06o01*","Nathan Flewelling","TB","C","298","FA","19","100,000","A","0","0","-","14%","+2%","0","0","0","0","0","0","0","0","0"
"*04u6u*","Randy Florentino","(N/A)","C","299","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06iao*","Juan Flores","LAA","C","300","FA","19","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06rjt*","Miguel Flores","HOU","C","301","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*057xt*","Ronaldo Flores","(N/A)","C","302","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ekv*","Stiven Flores","CHW","C","303","FA","20","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06dqc*","Garret Forrester","MIA","C","304","FA","24","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06sj3*","Chase Fralick","(N/A)","C","305","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*072fu*","Ian Francis","CIN","C","306","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*060gn*","Carlos Franco","ATH","C","307","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*072ff*","Noah Franklin","TEX","C","308","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06kld*","Jesus Freitez","COL","C","309","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06r4u*","Anderson French","(N/A)","C","310","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ht7*","Tomas Frick","NYY","C","311","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06pgs*","Jacob Friend","CIN","C","312","FA","22","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05gsn*","Vito Friscia","(N/A)","C","313","FA","29","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05mod*","Jesus Galiz","LAD","C","314","FA","22","100,000","A","0","0","-","3%","-1%","0","0","0","0","0","0","0","0","0"
"*02brd*","Cam Gallagher","(N/A)","C","315","FA","33","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*070du*","Rylan Galvan","CHW","C","316","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rn3*","Carlos Garcia","TOR","C,1B","317","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*049vk*","David Garcia","MIL","C","318","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05yig*","Johanfran Garcia","BOS","C","319","FA","21","100,000","A","0","0","-","6%","+1%","0","0","0","0","0","0","0","0","0"
"*066fk*","John Garcia","HOU","C","320","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06max*","Juan Garcia","(N/A)","C","321","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rig*","Juan Garcia","(N/A)","C","322","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06mep*","Kevin Garcia","MIL","C","323","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qy6*","Rodrigo Garcia","WSH","C","324","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hw1*","Yirer Garcia","TB","C","325","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rnf*","Andres Garza","(N/A)","C","326","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*043cc*","Ricardo Genoves","TB","C","327","FA","26","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06i07*","Adrian Gil","CHW","C,1B","328","FA","20","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*06yxf*","Jhon Gil","LAD","C","329","FA","18","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06sbu*","Santiago Gil","ARI","C","330","FA","17","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qj6*","Hayden Gilliland","TOR","C","331","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05llr*","Jose Godoy","(N/A)","C","332","FA","31","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ri8*","Gabriel Gomes","(N/A)","C","333","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*024o9*","Yan Gomes","(N/A)","C","334","FA","38","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*04qox*","Antonio Gomez","NYY","C","335","FA","24","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06r9o*","Luis Gomez","(N/A)","C","336","FA","31","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rla*","Mario Gomez","ATH","C","337","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rn8*","Anyelo Gonzalez","(N/A)","C","338","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06f17*","Bryan Gonzalez","LAD","C","339","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06k7z*","Deinys Gonzalez","TB","C","340","FA","19","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06qxb*","Diego Gonzalez","CHC","C","341","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qoo*","Fernando Gonzalez","SF","C","342","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06er4*","J.D. Gonzalez","TB","C","343","FA","20","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06rik*","Juan Gonzalez","CHW","C","344","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rk3*","Ricson Gonzalez","KC","C","345","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06riu*","Dilan Granadillo","CHC","C","346","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*072wh*","Fernando Graterol","CHW","C","347","FA","17","100,000","A","0","0","-","1%","+1%","0","0","0","0","0","0","0","0","0"
"*06y9r*","Taitn Gray","TB","C","348","FA","18","100,000","A","0","0","-","10%","0%","0","0","0","0","0","0","0","0","0"
"*04zo1*","Jaxx Groshans","(N/A)","C","349","FA","27","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06jh1*","Gabriel Guanchez","SEA","C","350","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05y4e*","Manuel Guariman","(N/A)","C","351","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rkh*","Jeiker Gudino","DET","C","352","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*067zt*","Henry Guerrero","(N/A)","C","353","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05yi1*","Freddy Guilamo","(N/A)","C","354","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hsh*","Garret Guillemette","HOU","C,1B","355","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qk3*","Mac Guscette","ATL","C","356","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0440c*","Abrahan Gutierrez","NYY","C","357","FA","26","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*066ml*","Daiverson Gutierrez","NYM","C","358","FA","20","100,000","A","0","0","-","4%","0%","0","0","0","0","0","0","0","0","0"
"*06hn2*","Adonys Guzman","PIT","C","359","FA","22","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*02bv2*","Eric Haase","SF","C","360","FA","33","100,000","A","0","1","462.1","3%","0%","0","0","0","0","0","0","0","0","0"
"*05yeq*","Adam Hackenberg","CHW","C","361","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hu9*","Ty Hanchey","SF","C","362","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06f0m*","Calvin Harris","CHW","C","363","FA","24","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06qs6*","Ben Hartl","TEX","C","364","FA","23","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06zfp*","Ty Harvey","SD","C","365","FA","19","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*06rjx*","Kyle Hayes","KC","C","366","FA","28","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05154*","Ethan Hearn","(N/A)","C,1B","367","FA","25","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06zb2*","Chase Heath","STL","C","368","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05zda*","Ryder Helfrick","(N/A)","C","369","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0517w*","Wyatt Hendrie","PIT","C","370","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*041sv*","Payton Henry","NYY","C","371","FA","28","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rj6*","Brayan Hernandez","(N/A)","C","381","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rlo*","Daniel Hernandez","WSH","C","372","FA","17","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*067zs*","Diomedes Hernandez","NYY","C","373","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06ris*","Frank Hernandez","(N/A)","C","382","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rf8*","Julian Hernandez","NYM","C","374","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rp2*","Maikel Hernandez","(N/A)","C","375","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05j75*","Omar Hernandez","KC","C","376","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05rk5*","Ronald Hernandez","NYM","C,1B","377","FA","22","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*04al0*","Ronaldo Hernandez","BOS","C","378","FA","28","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*068y1*","Ronny Hernandez","BOS","C","379","FA","21","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*065j9*","Sammy Hernandez","STL","C,1B","380","FA","21","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05xz1*","Jose Herrera","TEX","C","383","FA","28","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*06ri4*","Reiner Herrera","CLE","C","384","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qiw*","Tyler Herron","(N/A)","C","385","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06gum*","Kehden Hettiger","PHI","C,1B","386","FA","21","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*067zc*","Luke Heyman","BOS","C","387","FA","22","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*03qqe*","P.J. Higgins","CIN","C,1B,3B","388","FA","32","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*067ze*","Ross Highfill","(N/A)","C","389","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06z7q*","Landon Hodge","CHW","C","390","FA","18","100,000","A","0","0","-","2%","-1%","0","0","0","0","0","0","0","0","0"
"*06zb7*","Nick Hollifield","WSH","C","391","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05y0w*","Bennett Hostetler","MIA","C","392","FA","28","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*070bi*","Tyler Howard","CLE","C","393","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*02mzt*","Joe Hudson","HOU","C","394","FA","34","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06433*","Kody Huff","CLE","C","395","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*041tq*","Sam Huff","BAL","C","396","FA","28","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*060mc*","Zach Humphreys","LAA","C","397","FA","28","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
