Rank,Name,Value,Age,Positions,Team,Level
53,"Riley Greene",2896,25.8,"OF","DET","MLB"
54,"Kyle Schwarber",2893,33.4,"UT","PHI","MLB"
55,"Payton Tolle",2881,23.7,"SP","BOS","MLB"
56,"Seth Hernandez",2872,20.1,"SP","PIT","A+"
57,"Logan Gilbert",2863,29.2,"SP","SEA","MLB"
58,"Oneil Cruz",2856,27.8,"OF","PIT","MLB"
59,"Travis Bazzana",2829,23.9,"2B","CLE","MLB"
60,"Matt Olson",2815,32.3,"1B","ATL","MLB"
61,"Eury Perez",2801,23.3,"SP","MIA","MLB"
62,"Bryce Eldridge",2777,21.8,"1B","SF","MLB"
63,"Joe Ryan",2746,30.1,"SP","MIN","MLB"
64,"Jackson Merrill",2699,23.3,"OF","SD","MLB"
65,"Tyler Soderstrom",2657,24.7,"1B, OF","ATH","MLB"
66,"Logan Webb",2630,29.7,"SP","SF","MLB"
67,"George Kirby",2627,28.5,"SP","SEA","MLB"
68,"Josue De Paula",2614,21.2,"OF","LAD","AA"
69,"Jazz Chisholm Jr.",2523,28.5,"2B, 3B","NYY","MLB"
70,"Dylan Cease",2511,30.6,"SP","TOR","MLB"
71,"Max Fried",2484,32.5,"SP","NYY","MLB"
72,"Gavin Williams",2477,27,"SP","CLE","MLB"
73,"Ketel Marte",2477,32.8,"2B","AZ","MLB"
74,"Michael Harris II",2462,25.4,"OF","ATL","MLB"
75,"Colt Emerson",2451,21,"3B, SS","SEA","MLB"
76,"Bryce Harper",2403,33.8,"1B","PHI","MLB"
77,"Andy Pages",2367,25.6,"OF","LAD","MLB"
78,"Hunter Goodman",2351,26.8,"C","COL","MLB"
79,"Maikel Garcia",2273,26.4,"2B, 3B, SS","KC","MLB"
80,"Pete Alonso",2267,31.6,"1B","BAL","MLB"
81,"Kyle Harrison",2246,24.9,"SP","MIL","MLB"
82,"Colson Montgomery",2236,24.4,"3B, SS","CWS","MLB"
83,"Eli Willits",2192,18.6,"SS","WSH","A+"
84,"William Contreras",2189,28.6,"C","MIL","MLB"
85,"Chase DeLauter",2179,24.8,"OF","CLE","MLB"
86,"Carter Jensen",2140,23.1,"C","KC","MLB"
87,"Francisco Lindor",2079,32.7,"SS","NYM","MLB"
88,"Jesus Luzardo",2078,28.8,"SP","PHI","MLB"
89,"Miguel Vargas",2072,26.7,"1B, 3B","CWS","MLB"
90,"Cal Raleigh",2053,29.7,"C","SEA","MLB"
91,"Max Clark",2044,21.6,"OF","DET","AAA"
92,"Sebastian Walcott",2036,20.4,"SS","TEX","AA"
93,"Carson Benge",2012,23.5,"OF","NYM","MLB"
94,"Parker Messick",2008,25.8,"SP","CLE","MLB"
95,"Bryce Miller",1983,27.9,"SP","SEA","MLB"
96,"Walker Jenkins",1963,21.4,"OF","MIN","AAA"
97,"Bubba Chandler",1950,23.9,"SP","PIT","MLB"
98,"Connelly Early",1877,24.3,"SP","WSH","MLB"
99,"Rafael Devers",1852,29.8,"1B","SF","MLB"
100,"Geraldo Perdomo",1812,26.8,"SS","AZ","MLB"
101,"Freddy Peralta",1775,30.1,"SP","NYM","MLB"
102,"Jackson Holliday",1773,22.6,"2B","BAL","MLB"
103,"Jared Jones",1769,24.9,"SP","PIT","MLB"
104,"Spencer Schwellenbach",1732,26.2,"SP","ATL","MLB"
105,"Cody Bellinger",1706,31,"OF","NYY","MLB"
106,"Braxton Ashcraft",1702,26.8,"SP, RP","PIT","MLB"
107,"Ryan Sloan",1695,20.5,"SP","SEA","AA"
108,"Ivan Herrera",1669,26.2,"C","STL","MLB"
109,"Byron Buxton",1669,32.6,"OF","MIN","MLB"
110,"Jonathan Aranda",1619,28.2,"1B","TB","MLB"
111,"Luis Pena",1619,19.7,"2B, SS","MIL","A+"
112,"Braden Montgomery",1616,23.3,"OF","CWS","MLB"
113,"Bo Bichette",1616,28.4,"3B, SS","NYM","MLB"
114,"Noah Schultz",1595,22.9,"SP","CWS","MLB"
115,"Shane McClanahan",1586,29.2,"SP","TB","MLB"
116,"Franklin Arias",1584,20.7,"SS","BOS","AAA"
117,"Cole Ragans",1571,28.6,"SP","KC","MLB"
118,"Austin Riley",1570,29.3,"3B","ATL","MLB"
119,"Edward Florentino",1567,19.7,"OF","PIT","A+"
120,"Spencer Strider",1547,27.7,"SP","ATL","MLB"
121,"A.J. Ewing",1516,21.9,"OF","NYM","MLB"
122,"Thomas White",1510,21.8,"SP","MIA","AAA"
123,"Robby Snelling",1505,22.6,"SP","MIA","MLB"
124,"Chris Sale",1484,37.3,"SP","ATL","MLB"
125,"Xavier Edwards",1458,26.9,"2B, SS","MIA","MLB"
126,"Zyhir Hope",1458,21.5,"OF","LAD","AA"
127,"Dillon Dingler",1455,27.9,"C","DET","MLB"
128,"Logan Henderson",1443,24.4,"SP","MIL","MLB"
129,"Rainiel Rodriguez",1426,19.6,"C","STL","AA"
130,"Nico Hoerner",1421,29.2,"2B, SS","CHC","MLB"
131,"Jose Soriano",1397,27.8,"SP","LAA","MLB"
132,"2027 Early 1st",1394,,"","",""
133,"Mookie Betts",1392,33.8,"SS","LAD","MLB"
134,"Jacob Wilson",1391,24.3,"SS","ATH","MLB"
135,"Adley Rutschman",1377,28.5,"C","BAL","MLB"
136,"Otto Lopez",1371,27.8,"2B, SS","MIA","MLB"
137,"Trea Turner",1366,33.1,"SS","PHI","MLB"
138,"Ryan Waldschmidt",1362,23.8,"OF","AZ","MLB"
139,"Cam Smith",1344,23.4,"OF","HOU","MLB"
140,"Emmet Sheehan",1339,26.7,"SP","LAD","MLB"
141,"Jeremy Pena",1336,28.8,"SS","HOU","MLB"
142,"Gage Jump",1325,23.3,"SP","ATH","MLB"
143,"Jhoan Duran",1323,28.6,"RP","PHI","MLB"
144,"Joshua Baez",1320,23.1,"OF","STL","AAA"
145,"Zack Wheeler",1319,36.2,"SP","PHI","MLB"
146,"Cade Horton",1318,24.9,"SP","CHC","MLB"
147,"Josh Naylor",1295,29.1,"1B","SEA","MLB"
148,"Theo Gillen",1274,20.9,"OF","TB","AA"
149,"Corey Seager",1274,32.3,"SS","TEX","MLB"
150,"Emerson Hancock",1261,27.2,"SP","SEA","MLB"
151,"Jarren Duran",1258,29.9,"OF","BOS","MLB"
152,"Sandy Alcantara",1246,30.9,"SP","MIA","MLB"
153,"Kazuma Okamoto",1233,30.1,"1B, 3B","TOR","MLB"
154,"Max Meyer",1232,27.4,"SP","MIA","MLB"
155,"George Lombard Jr.",1220,21.2,"SS","NYY","AAA"
156,"2028 Early 1st",1219,,"","",""
157,"Drew Rasmussen",1214,31,"SP","TB","MLB"
158,"Michael Busch",1198,28.7,"1B","CHC","MLB"
159,"Caleb Bonemer",1198,20.8,"3B, SS","CWS","AA"
160,"Wilyer Abreu",1169,27.1,"OF","BOS","MLB"
161,"Sam Antonacci",1165,23.5,"2B, 3B, SS, OF","CWS","MLB"
162,"Dylan Crews",1153,24.4,"OF","WSH","MLB"
163,"MacKenzie Gore",1152,27.4,"SP","TEX","MLB"
164,"Luke Keaschall",1139,23.9,"2B, OF","MIN","MLB"
165,"Ethan Holliday",1123,19.4,"SS","COL","A"
166,"Mike Trout",1113,34.9,"OF, UT","LAA","MLB"
167,"Vinnie Pasquantino",1111,28.8,"1B","KC","MLB"
168,"Michael King",1109,31.2,"SP","SD","MLB"
169,"Freddie Freeman",1107,36.9,"1B","LAD","MLB"
170,"Seiya Suzuki",1105,31.9,"OF, UT","CHC","MLB"
171,"Aidan Miller",1105,22.1,"SS","PHI","AA"
172,"Ozzie Albies",1086,29.6,"2B","ATL","MLB"
173,"Cade Smith",1081,27.2,"RP","CLE","MLB"
174,"Justin Wrobleski",1070,26,"SP, RP","LAD","MLB"
175,"Mike Sirota",1060,23.1,"OF","LAD","AA"
176,"Charlie Condon",1054,23.3,"1B, OF","COL","AAA"
177,"Tyler Glasnow",1053,32.9,"SP","LAD","MLB"
178,"Randy Arozarena",1048,31.4,"OF","SEA","MLB"
179,"Jackson Jobe",1044,23.9,"SP","DET","AA"
180,"Brent Rooker",1040,31.7,"OF, UT","ATH","MLB"
181,"Dalton Rushing",1023,25.4,"C","LAD","MLB"
182,"Andrew Painter",1014,23.3,"SP","PHI","MLB"
183,"Anthony Eyanson",1009,21.8,"SP","BOS","AA"
184,"Taj Bradley",1003,25.4,"SP","MIN","MLB"
185,"Cole Young",998,22.9,"2B","SEA","MLB"
186,"Roki Sasaki",997,24.7,"SP","LAD","MLB"
187,"Nick Lodolo",988,28.5,"SP","CIN","MLB"
188,"Alfredo Duno",979,20.6,"C","CIN","AA"
189,"Jasson Dominguez",956,23.5,"OF","NYY","MLB"
190,"Eduardo Quintero",947,20.9,"OF","LAD","A+"
191,"JoJo Parker",946,19.9,"SS","TOR","A"
192,"Kaelen Culpepper",945,23.6,"SS","MIN","AAA"
193,"Josuar Gonzalez",944,18.8,"SS","SF","A"
194,"Henry Bolte",939,22.9,"OF","ATH","MLB"
195,"Ranger Suarez",939,30.9,"SP","BOS","MLB"
196,"Casey Mize",939,29.2,"SP","DET","MLB"
197,"Kyle Teel",938,24.4,"C","CWS","MLB"
198,"Jacob deGrom",936,38.1,"SP","TEX","MLB"
199,"Kyle Stowers",934,28.6,"1B, OF","MIA","MLB"
200,"Kyle Bradish",930,29.9,"SP","BAL","MLB"
201,"Manny Machado",927,34.1,"3B","SD","MLB"
202,"Jordan Lawlar",923,24,"3B, OF","AZ","MLB"
203,"Didier Fuentes",921,21.1,"SP, RP","ATL","MLB"
204,"Daylen Lile",904,23.7,"OF","WSH","MLB"
205,"Bryce Rainer",903,21.1,"SS","DET","A+"
206,"Lazaro Montes",897,21.8,"OF","SEA","AAA"
207,"Ceddanne Rafaela",891,25.9,"2B, OF","BOS","MLB"
208,"Ryan Weathers",882,26.6,"SP","NYY","MLB"
209,"Will Smith",881,31.3,"C","LAD","MLB"
210,"Brandon Lowe",881,32.1,"2B","PIT","MLB"
211,"Grant Taylor",881,24.2,"SP, RP","CWS","MLB"
212,"Corbin Burnes",880,31.8,"SP","AZ","MLB"
213,"Luis Lara",876,21.7,"OF","MIL","MLB"
214,"Ralphy Velazquez",871,21.2,"1B","CLE","AAA"
215,"Moises Ballesteros",867,22.7,"UT","CHC","MLB"
216,"Framber Valdez",862,32.7,"SP","DET","MLB"
217,"Alec Burleson",862,27.7,"1B, OF","STL","MLB"
218,"James Tibbs III",860,23.8,"OF","LAD","AAA"
219,"Ethan Salas",859,20.2,"C","SD","AA"
220,"Andres Munoz",859,27.5,"RP","SEA","MLB"
221,"Troy Melton",858,25.6,"SP, RP","DET","MLB"
222,"Eric Hartman",844,20.1,"2B, OF","ATL","A+"
223,"Esmerlyn Valdez",843,22.5,"OF","PIT","MLB"
224,"2027 Mid 1st",843,,"","",""
225,"Reid Detmers",837,27.1,"SP, RP","LAA","MLB"
226,"Edward Cabrera",831,28.3,"SP","CHC","MLB"
227,"Blake Snell",830,33.6,"SP","LAD","MLB"
228,"Kendry Chourio",829,18.8,"SP","KC","A+"
229,"Jo Adell",828,27.3,"OF","LAA","MLB"
230,"Jonah Tong",823,23.1,"SP","NYM","MLB"
231,"Cole Carrigg",812,24.2,"OF","COL","MLB"
232,"Liam Doyle",803,22.2,"SP","STL","AA"
233,"Will Warren",799,27.1,"SP","NYY","MLB"
234,"Ben Brown",798,26.9,"SP, RP","CHC","MLB"
235,"Luis Hernandez",781,17.6,"SS","SF","A"
236,"Gage Wood",779,22.6,"SP","PHI","AA"
237,"Owen Caissie",777,24.1,"OF","MIA","MLB"
238,"Emil Morales",773,19.8,"SS","LAD","A+"
239,"Alex Bregman",768,32.3,"3B","CHC","MLB"
240,"Gerrit Cole",757,35.9,"SP","NYY","MLB"
241,"2028 Mid 1st",754,,"","",""
242,"Luis Garcia Jr.",753,26.2,"1B, 2B","WSH","MLB"
243,"Shota Imanaga",750,32.9,"SP","CHC","MLB"
244,"Andrew Fischer",748,22.2,"3B","MIL","AA"
245,"Carlos Lagrange",746,23.2,"SP","NYY","AAA"
246,"Kris Bubic",746,28.9,"SP","KC","MLB"
247,"Tanner Bibee",744,27.4,"SP","CLE","MLB"
248,"Jamie Arnold",744,22.4,"SP","ATH","AA"
249,"Travis Sykora",742,22.2,"SP","WSH","ROK"
250,"Cam Caminiti",742,19.9,"SP","ATL","A+"
251,"Chase Dollander",733,24.8,"SP, RP","COL","MLB"
252,"Liam Hicks",733,27.2,"C, 1B","MIA","MLB"
253,"Karson Milbrandt",732,22.3,"SP","MIA","AAA"
254,"Matt Shaw",732,24.7,"3B, OF","CHC","MLB"
255,"Yandy Diaz",728,34.9,"1B","TB","MLB"
256,"Hurston Waldrep",726,24.4,"SP","ATL","MLB"
257,"Marcelo Mayer",721,23.6,"2B, 3B, SS","BOS","MLB"
258,"Emmanuel Rodriguez",714,23.4,"OF","MIN","AAA"
259,"2027 Late 1st",714,,"","",""
260,"Shane Baz",712,27.1,"SP","BAL","MLB"
261,"Josh Hader",705,32.3,"RP","HOU","MLB"
262,"Mickey Moniak",704,28.2,"OF","COL","MLB"
263,"Lawrence Butler",702,26,"OF","ATH","MLB"
264,"Agustin Ramirez",697,24.9,"C","MIA","MLB"
265,"Spencer Torkelson",691,26.9,"1B","DET","MLB"
266,"Jordan Westburg",690,27.4,"2B, 3B","BAL","AAA"
267,"Jhonny Level",690,19.3,"SS","SF","A+"
268,"Mick Abel",682,24.9,"SP","MIN","MLB"
269,"Jarlin Susana",680,22.3,"SP","WSH","AA"
270,"Bryan Reynolds",679,31.5,"OF","PIT","MLB"
271,"Ian Happ",677,31.9,"OF","CHC","MLB"
272,"AJ Smith-Shawver",670,23.7,"SP","ATL","AAA"
273,"Willson Contreras",660,34.2,"1B","BOS","MLB"
274,"Kevin Gausman",660,35.6,"SP","TOR","MLB"
275,"Pedro Ramirez",657,22.3,"2B, 3B, SS","CHC","MLB"
276,"Chandler Simpson",654,25.7,"OF","TB","MLB"
277,"Edwin Arroyo",653,22.9,"2B, SS","CIN","MLB"
278,"Francisco Alvarez",645,24.7,"C","NYM","MLB"
279,"Dax Kilby",641,19.7,"SS","NYY","A"
280,"Spencer Jones",637,25.2,"OF","NYY","MLB"
281,"Casey Schmitt",637,27.4,"1B, 2B, 3B, OF","SF","MLB"
282,"Landen Roupp",632,27.9,"SP","SF","MLB"
283,"Edwin Diaz",632,32.4,"RP","LAD","MLB"
284,"Tyler Bremner",628,22.3,"SP","LAA","A+"
285,"Isaac Paredes",628,27.4,"1B, 3B","HOU","MLB"
286,"Spencer Arrighetti",627,26.6,"SP","HOU","MLB"
287,"Brandon Sproat",624,25.9,"SP","MIL","MLB"
288,"Devin Fitz-Gerald",624,20.9,"SS","WSH","AA"
289,"Justin Crawford",624,22.5,"OF","PHI","MLB"
290,"J.R. Ritchie",621,23.1,"SP, RP","ATL","MLB"
291,"2028 Late 1st",619,,"","",""
292,"Joey Cantillo",615,26.6,"SP, RP","CLE","MLB"
293,"Hagen Smith",615,22.9,"SP","CWS","AAA"
294,"Aiva Arquette",608,22.8,"SS","MIA","AA"
295,"Cooper Pratt",606,21.9,"SS","MIL","MLB"
296,"Jett Williams",602,22.7,"2B, SS, OF","MIL","AAA"
297,"Cade Cavalli",600,27.9,"SP","WSH","MLB"
298,"Royce Lewis",595,27.1,"1B, 3B","MIN","MLB"
299,"Steele Hall",594,19,"SS","CIN","ROK"
300,"Abner Uribe",592,26.1,"RP","MIL","MLB"
301,"Zack Gelof",586,26.8,"2B, 3B, OF","ATH","MLB"
302,"Heliot Ramos",586,26.9,"OF","SF","MLB"
303,"Luis Arraez",582,29.3,"1B, 2B","SF","MLB"
304,"Michael Arroyo",578,21.7,"2B","SEA","AAA"
305,"Josh Jung",576,28.5,"3B","TEX","MLB"
306,"Felnin Celesten",570,20.9,"SS","SEA","AA"
307,"Andrew Abbott",567,27.2,"SP","CIN","MLB"
308,"Gabriel Moreno",566,26.4,"C","AZ","MLB"
309,"Trevor Rogers",565,28.7,"SP","BAL","MLB"
310,"Josiah Hartshorn",565,19.5,"1B, OF","CHC","A+"
311,"Josue Briceno",565,21.8,"C, 1B","DET","AA"
312,"Tatsuya Imai",565,28.2,"SP","HOU","MLB"
313,"Matt McLain",553,26.9,"2B, SS","CIN","MLB"
314,"Braylon Payne",552,19.9,"OF","MIL","A+"
315,"Kyson Witherspoon",552,21.9,"SP","BOS","A+"
316,"Arjun Nimmala",547,20.8,"SS","TOR","AA"
317,"Carlos Rodon",546,33.6,"SP","NYY","MLB"
318,"Ethan Conrad",546,22.1,"OF","CHC","A"
319,"Christian Scott",537,27.1,"SP","NYM","MLB"
320,"Caden Scarborough",534,21.3,"SP","TEX","A+"
321,"Elmer Rodriguez-Cruz",525,22.9,"SP","NYY","MLB"
322,"Luis Robert Jr.",521,28.9,"OF","NYM","MLB"
323,"Pablo Lopez",519,30.4,"SP","MIN","AAA"
324,"Louis Varland",515,28.6,"RP","TOR","MLB"
325,"Christian Yelich",514,34.6,"OF, UT","MIL","MLB"
326,"Curtis Mead",513,25.8,"1B, 2B, 3B","BOS","MLB"
327,"Joe Mack",510,23.6,"C","MIA","MLB"
328,"Joseph Dzierwa",502,22.3,"SP","BAL","AA"
329,"Dominic Canzone",500,28.9,"OF","SEA","MLB"
330,"Noah Cameron",495,27,"SP","KC","MLB"
331,"Jack Leiter",495,26.3,"SP","TEX","MLB"
332,"Ryan Pepiot",492,28.9,"SP","TB","MLB"
333,"Kyle Manzardo",490,26,"1B","CLE","MLB"
334,"Steven Kwan",489,28.9,"OF","CLE","MLB"
335,"Brendan Donovan",489,29.5,"2B, 3B, OF","SEA","MLB"
336,"Seaver King",488,23.3,"SS","WSH","AAA"
337,"Noelvi Marte",487,24.8,"3B, OF","CIN","MLB"
338,"Colt Keith",472,24.9,"1B, 2B, 3B","DET","MLB"
339,"Jonny Farmelo",470,21.9,"OF","SEA","AA"
340,"Willy Adames",469,30.9,"SS","SF","MLB"
341,"Max Muncy",465,23.9,"2B, 3B","ATH","MLB"
342,"Sean Burke",464,26.6,"SP","CWS","MLB"
343,"Rhett Lowder",457,24.4,"SP","CIN","MLB"
344,"Jung Hoo Lee",457,27.9,"OF","SF","MLB"
345,"Sonny Gray",454,36.7,"SP","BOS","MLB"
346,"Xavier Neyens",450,19.7,"3B","HOU","A+"
347,"Andrew Vaughn",450,28.3,"1B","MIL","MLB"
348,"Kerry Carpenter",441,28.9,"OF","DET","MLB"
349,"Jakob Marsee",438,25.1,"OF","MIA","MLB"
350,"Jacob Gonzalez",436,24.2,"1B, 2B, SS","PIT","MLB"
351,"Jefferson Rojas",430,21.3,"2B, SS","CHC","AA"
352,"Dylan Beavers",429,24.9,"OF","BAL","MLB"
353,"Tommy White",423,23.4,"3B","ATH","MLB"
354,"Michael Soroka",423,28.9,"SP","AZ","MLB"
355,"Masyn Winn",422,24.4,"SS","STL","MLB"
356,"JJ Bleday",421,28.7,"OF","CIN","MLB"
357,"Griffin Jax",421,31.7,"SP, RP","TB","MLB"
358,"Brandon Marsh",420,28.6,"OF","PHI","MLB"
359,"Chase Meidroth",418,25,"2B, SS","CWS","MLB"
360,"Kayson Cunningham",418,20.1,"SS","AZ","A+"
361,"Jaison Chourio",415,21.2,"OF","CLE","AA"
362,"Nathan Eovaldi",412,36.5,"SP","TEX","MLB"
363,"Josh Adamczewski",410,21.2,"SS","MIL","AA"
364,"Brandon Woodruff",410,33.5,"SP","MIL","MLB"
365,"Ike Irish",407,22.7,"C, 1B","BAL","A+"
366,"Spencer Steer",405,28.6,"1B, 2B, OF","CIN","MLB"
367,"Walbert Urena",402,22.5,"SP","LAA","MLB"
368,"Connor Prielipp",401,25.5,"SP","MIN","MLB"
369,"Zebby Matthews",401,26.2,"SP","MIN","MLB"
370,"Johnny King",399,20,"SP","TOR","A+"
371,"Hector Rodriguez",396,22.4,"OF","CIN","AAA"
372,"Addison Barger",394,26.7,"3B, OF","TOR","MLB"
373,"Daniel Palencia",393,26.5,"RP","CHC","MLB"
374,"Justin Steele",391,31,"SP","CHC","MLB"
375,"Justin Gonzales",390,19.6,"OF","BOS","A+"
376,"Foster Griffin",386,31,"SP, RP","WSH","MLB"
377,"Blaze Jordan",385,23.6,"1B, 3B","STL","MLB"
378,"Dansby Swanson",383,32.5,"SS","CHC","MLB"
379,"Kevin Alcantara",379,24,"OF","CHC","MLB"
380,"Bryce Elder",379,27.2,"SP","ATL","MLB"
381,"Brooks Lee",379,25.4,"2B, 3B, SS","MIN","MLB"
382,"Brady House",377,23.1,"3B","WSH","MLB"
383,"Ian Seymour",376,27.6,"SP, RP","TB","MLB"
384,"Angel Martinez",376,24.5,"2B, OF","CLE","MLB"
385,"Shane Bieber",373,31.2,"SP","TOR","MLB"
386,"Christian Moore",372,23.8,"2B","LAA","MLB"
387,"Davis Martin",372,29.6,"SP","CWS","MLB"
388,"Angel Genao",372,22.2,"3B, SS","CLE","AAA"
389,"Jake Bennett",372,25.7,"SP","BOS","MLB"
390,"2027 Early 2nd",368,,"","",""
391,"Quinn Priester",367,25.9,"SP","MIL","AAA"
392,"Evan Carter",366,23.9,"OF","TEX","MLB"
393,"Kash Mayfield",366,21.5,"SP","SD","A+"
394,"T.J. Rumfield",365,25,"1B","COL",""
395,"Brody Hopkins",361,24.5,"SP","TB","AAA"
396,"Teoscar Hernandez",357,33.8,"OF","LAD","MLB"
397,"Brandon Nimmo",357,33.3,"OF","TEX","MLB"
398,"Gleyber Torres",352,29.6,"2B","DET","MLB"
399,"Juneiker Caceres",351,18.9,"OF","CLE","A+"
400,"Tanner McDougal",351,23.3,"SP","CWS","AAA"
401,"Elian Pena",346,18.8,"SS","NYM","A"
402,"Garrett Mitchell",346,27.9,"OF","MIL","MLB"
403,"Gavin Fien",345,19.4,"3B, SS","WSH","A"
404,"Jurrangelo Cijntje",342,23.2,"SP","STL","AAA"
405,"Michael McGreevy",341,26.1,"SP","STL","MLB"
406,"Jaxon Wiggins",340,24.8,"SP","CHC","AAA"
407,"Cooper Ingle",340,24.4,"C","CLE","MLB"
408,"Kruz Schoolcraft",339,19.3,"SP","SD","A"
409,"Kumar Rocker",339,26.7,"SP","TEX","MLB"
410,"Taitn Gray",337,18.9,"C","TB","A"
411,"Nolan Schanuel",335,24.4,"1B","LAA","MLB"
412,"River Ryan",335,27.9,"SP","LAD","AAA"
413,"Ronny Cruz",335,19.9,"SS","WSH","A+"
414,"Aroldis Chapman",333,38.4,"RP","BOS","MLB"
415,"Carson Williams",332,23.1,"SS","TB","MLB"
416,"Reese Olson",330,26.9,"SP","DET","AAA"
417,"Zac Veen",329,24.6,"OF","COL","AAA"
418,"Kevin Alvarez",328,18.5,"OF","HOU","A"
419,"Josh Hammond",328,19.8,"3B, SS","KC","A"
420,"2028 Early 2nd",327,,"","",""
421,"Taylor Ward",326,32.6,"OF","BAL","MLB"
422,"Francisco Renteria",323,17.5,"OF","PHI","ROK"
423,"Robbie Ray",321,34.8,"SP","SF","MLB"
424,"Devin Williams",321,31.8,"RP","NYM","MLB"
425,"Kyle Karros",320,24,"3B","COL","MLB"
426,"Eduardo Tait",320,19.9,"C","MIN","A+"
427,"Coby Mayo",318,24.6,"1B, 3B","BAL","MLB"
428,"Max Muncy",317,35.9,"3B","LAD","MLB"
429,"David Bednar",315,31.8,"RP","NYY","MLB"
430,"Xavier Isaac",311,22.6,"UT","TB","AA"
431,"Sal Frelick",311,26.3,"OF","MIL","MLB"
432,"Ryan O'Hearn",309,33,"1B, OF","PIT","MLB"
433,"2027 Mid 2nd",308,,"","",""
434,"Matt Chapman",308,33.2,"3B","SF","MLB"
435,"Jack Wenninger",306,24.4,"SP","NYM","AAA"
436,"Nick Pivetta",306,33.4,"SP","SD","MLB"
437,"Bryson Stott",305,28.8,"2B, SS","PHI","MLB"
438,"Michael Forret",301,22.3,"SP","TB","AAA"
439,"Brayan Rocchio",298,25.5,"2B, SS","CLE","MLB"
440,"Ezequiel Tovar",296,24.9,"SS","COL","MLB"
441,"Kahlil Watson",294,23.3,"SS, OF","CLE","MLB"
442,"Daulton Varsho",294,30.1,"OF","TOR","MLB"
443,"Colton Cowser",293,26.4,"OF","BAL","MLB"
444,"Grayson Rodriguez",293,26.7,"SP","LAA","MLB"
445,"Jacob Melton",292,25.9,"OF","TB","AAA"
446,"Yainer Diaz",290,27.8,"C","HOU","MLB"
447,"Ernie Clement",287,30.4,"1B, 2B, 3B, SS","TOR","MLB"
