Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Steven Okert","HOU",3,2,,3.71634,64,0,0,14,,64,261,52,29,26,9,22,,3,75,10.5027,3.07002,3.42105,1.29264,0.286344,0.0837004,0.20264316350221634,0.219512,1.14901,0.280303,0.738636,,,3.85327,0.539961,0.39439,999,,,,,,,358.70000000000005,5.604687500000001,334,5.21875,,,,,,,,,,,,,,,,,,,"Steven Okert","13580",595345
"David Festa","MIN",3,3,,4.22028,22,6,0,1,,47,199,44,23,22,6,16,,2,47,9.12759,3.14068,2.90625,1.17775,0.237852,0.0818414,0.1560102254152298,0.242254,1.2868,0.296,0.711462,,,3.98574,0.537443,0.418313,999,,,,,,,203.6,4.3319148936170215,201,4.276595744680851,,,,,,,,,,,,,,,,,,,"David Festa","30056",701581
"Drew Anderson","DET",5,5,,4.19084,60,5,0,9,,81,346,73,41,38,12,30,,4,91,10.0992,3.29771,3.0625,1.30534,0.263441,0.0860215,0.17741934210062027,0.234592,1.26718,0.293769,0.71736,,,4.0359,0.533263,0.31409,999,,,,,,,377.99999999999994,4.666666666666666,365,4.506172839506172,,,,,,,,,,,,,,,,,,,"Drew Anderson","15130",623454
"Bryan Baker","TBR",4,3,,3.94604,63,0,3,12,,63,259,53,30,28,8,22,,1,69,9.86509,3.18718,3.09524,1.21417,0.266393,0.0860656,0.180327869951725,0.225225,1.1973,0.281879,0.719064,,,3.80967,0.528766,0.281644,999,,,,,,,362.00000000000006,5.746031746031747,343,5.444444444444445,,,,,,,,,,,,,,,,,,,"Bryan Baker","19804",641329
"Hunter Dobbins","STL",4,4,,4.57433,31,13,0,1,,85,370,89,47,43,11,27,,4,58,6.17535,2.85896,2.16,1.14358,0.157895,0.0730994,0.08479531854391098,0.261981,1.35959,0.289157,0.688172,,,4.52014,0.527865,0.394871,999,,,,,,,289.30000000000007,3.4035294117647066,309,3.635294117647059,,,,,,,,,,,,,,,,,,,"Hunter Dobbins","30240",690928
"A.J. Minter","NYM",5,3,,3.52941,52,0,2,14,,52,212,44,22,20,6,17,,1,57,9.88235,3,3.29412,1.05882,0.269231,0.0817308,0.1874999776482582,0.226316,1.17647,0.289062,0.736434,,,3.52729,0.526815,0.589495,999,,,,,,,322.6,6.203846153846154,308,5.923076923076923,,,,,,,,,,,,,,,,,,,"A.J. Minter","18655",621345
"Hunter Gaddis","CLE",3,3,,3.65314,66,0,3,14,,66,275,58,29,27,8,21,,4,65,8.85609,2.87823,3.07692,1.10701,0.235988,0.0766962,0.15929203480482101,0.230519,1.19311,0.279817,0.73494,,,3.91004,0.526676,0.708041,746.280029296875,,,,,,,365.2000000000001,5.533333333333335,352,5.333333333333333,,,,,,,,,,,,,,,,,,,"Hunter Gaddis","25636",683769
"Blake Treinen","LAD",7,5,,4.09091,58,0,1,14,,58,255,54,28,26,7,21,,4,65,10.0909,3.27273,3.08333,1.09091,0.255172,0.0827586,0.17241380363702774,0.236641,1.30303,0.3,0.721925,,,3.7412,0.523458,0.253458,999,,,,,,,318.70000000000005,5.494827586206897,315,5.431034482758621,,,,,,,,,,,,,,,,,,,"Blake Treinen","12572",595014
"Eduard Bazardo","SEA",3,3,,3.54545,68,0,1,14,,68,280,58,29,27,7,23,,3,69,9.13636,3,3.04545,0.954545,0.246324,0.0808823,0.16544117778539658,0.226721,1.18182,0.283237,0.733138,,,3.61998,0.522346,0.415963,999,,,,,,,387.3,5.695588235294117,370,5.4411764705882355,,,,,,,,,,,,,,,,,,,"Eduard Bazardo","20997",660825
"Aaron Ashby","MIL",5,5,,3.95122,70,3,1,13,,85,381,75,41,37,7,45,,6,90,9.43902,4.71951,2,0.768293,0.234973,0.117486,0.11748634278774261,0.227129,1.40244,0.290179,0.722433,,,3.94001,0.522167,0.544584,999,,,,,,,431.9,5.081176470588235,418,4.91764705882353,,,,,,,,,,,,,,,,,,,"Aaron Ashby","23550",676879
"Jon Gray",,2,2,,4.46281,6,6,0,0,,33,142,32,18,17,4,10,,1,29,7.86305,2.76269,2.84615,1.16883,0.205556,0.0722222,0.13333333283662796,0.247734,1.27509,0.288618,0.680346,,,4.10326,0.517249,0.25521,999,,,,,,,136.80000000000007,4.145454545454547,138,4.181818181818182,,,,,,,,,,,,,,,,,,,"Jon Gray","14916",592351
"Shawn Armstrong","CLE",3,2,,3.70497,68,0,3,16,,68,282,61,30,28,8,20,,5,68,8.95369,2.62436,3.41176,1.08062,0.239669,0.0702479,0.1694214791059494,0.235294,1.18353,0.288462,0.726351,,,3.78694,0.502429,0.598181,999,,,,,,,386.20000000000005,5.679411764705883,376,5.529411764705882,,,,,,,,,,,,,,,,,,,"Shawn Armstrong","12857",542888
