Rank,Name,Value,Age,Positions,Team,Level
134,"Ryan Waldschmidt",1406,23.8,"OF","AZ","MLB"
135,"2027 Early 1st",1399,,"","",""
136,"A.J. Ewing",1394,21.9,"OF","NYM","MLB"
137,"Jeremy Pena",1363,28.8,"SS","HOU","MLB"
138,"Corey Seager",1350,32.2,"SS","TEX","MLB"
139,"Emmet Sheehan",1345,26.7,"SP","LAD","MLB"
140,"Jhoan Duran",1337,28.5,"RP","PHI","MLB"
141,"Josh Naylor",1335,29.1,"1B","SEA","MLB"
142,"Jarren Duran",1333,29.9,"OF","BOS","MLB"
143,"Gage Jump",1324,23.3,"SP","ATH","MLB"
144,"Cade Horton",1306,24.9,"SP","CHC","MLB"
145,"Cam Smith",1304,23.4,"OF","HOU","MLB"
146,"Joshua Baez",1273,23.1,"OF","STL","AAA"
147,"Michael Busch",1262,28.7,"1B","CHC","MLB"
148,"Dillon Dingler",1260,27.8,"C","DET","MLB"
149,"Emerson Hancock",1260,27.1,"SP","SEA","MLB"
150,"Sandy Alcantara",1253,30.9,"SP","MIA","MLB"
151,"Zack Wheeler",1253,36.1,"SP","PHI","MLB"
152,"Dylan Crews",1250,24.4,"OF","WSH","MLB"
153,"Otto Lopez",1223,27.8,"2B, SS","MIA","MLB"
154,"Theo Gillen",1220,20.8,"OF","TB","AA"
155,"Vinnie Pasquantino",1220,28.8,"1B","KC","MLB"
156,"Kazuma Okamoto",1220,30.1,"1B, 3B","TOR","MLB"
157,"MacKenzie Gore",1217,27.4,"SP","TEX","MLB"
158,"Drew Rasmussen",1209,30.9,"SP","TB","MLB"
159,"2028 Early 1st",1208,,"","",""
160,"Wilyer Abreu",1206,27.1,"OF","BOS","MLB"
161,"Max Meyer",1183,27.4,"SP","MIA","MLB"
162,"George Lombard Jr.",1183,21.1,"SS","NYY","AAA"
163,"Caleb Bonemer",1166,20.8,"3B, SS","CWS","AA"
164,"Michael King",1142,31.2,"SP","SD","MLB"
165,"Sam Antonacci",1138,23.4,"2B, 3B, SS, OF","CWS","MLB"
166,"Aidan Miller",1135,22.1,"SS","PHI","AA"
167,"Luke Keaschall",1130,23.9,"2B, OF","MIN","MLB"
168,"Seiya Suzuki",1122,31.9,"OF, UT","CHC","MLB"
169,"Tyler Glasnow",1119,32.9,"SP","LAD","MLB"
170,"Ozzie Albies",1104,29.5,"2B","ATL","MLB"
171,"Mike Trout",1093,34.9,"OF, UT","LAA","MLB"
172,"Freddie Freeman",1091,36.8,"1B","LAD","MLB"
173,"Brent Rooker",1089,31.7,"OF, UT","ATH","MLB"
174,"Charlie Condon",1082,23.3,"1B, OF","COL","AAA"
175,"Andrew Painter",1078,23.3,"SP","PHI","MLB"
176,"Ethan Holliday",1069,19.4,"SS","COL","A"
177,"Jackson Jobe",1058,23.9,"SP","DET","A"
178,"Dalton Rushing",1057,25.4,"C","LAD","MLB"
179,"Nick Lodolo",1040,28.4,"SP","CIN","MLB"
