Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Andry Lara,WSN,AAA,23,79,7.405063291139241,3.0759493670886076,2.40740741,1.5949367088607596,0.18786127,0.07803468,0.10982659,0.25949367,1.379746835443038,0.28691983,0.63852814,5.810126582278481,5.329268815245809,0.48085776703267147,4.996369560911686,27967
Brett Kerry,LAA,AAA,27,81,8.777777777777779,3.2222222222222223,2.72413793,1.8888888888888888,0.20050761,0.07360406,0.12690355,0.33425414,1.8518518518518519,0.39097744,0.58823529,7.555555555555555,5.911427547313549,1.6441280082420064,4.972471186739427,29826
Jackson Wolf,SDP,AAA,27,79.2,8.698745880605259,3.7280339488308254,2.33333333,1.2426779829436085,0.20980926,0.08991826,0.11989101,0.27300613,1.5313809486779821,0.32773109,0.65445026,5.648536286107311,5.3543225044484055,0.29421378165890566,5.356810560379353,29832
Dom Hamel,NYY,AAA,27,79,7.405063291139241,4.89873417721519,1.51162791,1.5949367088607596,0.17520216,0.11590296,0.05929919,0.28482972,1.7088607594936709,0.31967213,0.589701,6.949367088607595,6.012813119043278,0.9365539695643168,6.17263841821423,30153
Jake Palisch,CHW,AA,27,80.2,4.128099694130599,3.68181864611648,1.12121212,1.0041323580317674,0.10054348,0.08967391,0.01086957,0.3033033,1.6611572342747756,0.32055749,0.61588331,5.578513100176485,5.444352241038295,0.13416085913818954,5.694160498906228,31598
Carson Whisenhunt,SFG,AAA,25,77.1,9.543104075931948,4.306034765969294,2.21621622,0.4655172719966804,0.23906706,0.10787172,0.13119534,0.25165563,1.461206992656247,0.33333333,0.70915619,4.422414083968464,4.090705973016239,0.3317081109522251,4.999012654413516,31676
Owen Murphy,ATL,"AA,AAA",22,81,10.222222462930148,4.222222321645061,2.42105263,1.444444478457521,0.27138643,0.1120944,0.15929204,0.21548822,1.259259288911685,0.265625,0.72892938,4.444444549100065,4.922031483904498,-0.4775869348044335,4.872201720624071,31761
Brendan Beck,NYY,AAA,27,93.1,8.9678576315666,2.796428723821843,3.20689655,0.8678571901516065,0.25135135,0.07837838,0.17297297,0.19941349,1.039285770922294,0.24686192,0.71090047,3.0857144538723786,3.7246576141824534,-0.6389431603100748,4.298189306087908,33043
Kade Morris,OAK,AAA,24,81.2,6.7224498169505615,3.306122860795358,2.03333333,1.4326532396779885,0.17280453,0.08498584,0.0878187,0.27301587,1.4204083401935612,0.30290456,0.72778828,4.518367909753656,5.919893401343373,-1.4015254915897168,5.368734538051113,33787
Adam Leverett,SEA,AA,27,71.2,7.911629029970963,2.5116282634828453,3.15,1.6325583712638494,0.21649485,0.06872852,0.14776632,0.23970037,1.172093189625328,0.26701571,0.75931232,4.3953494610949795,5.255350719934705,-0.8600012588397252,4.814191101375787,sa1169991
Dylan File,DET,AAA,30,75,7.08,3.12,2.26923077,1.32,0.17717718,0.07807808,0.0990991,0.27483444,1.4533333333333334,0.31034483,0.63894523,5.64,5.105133794148763,0.5348662058512366,5.496909854213397,sa3004197
Bryce Conley,NYM,"AA,AAA",31,81,8.111111302107618,4.77777789028257,1.69767442,1.6666667059125242,0.20221607,0.11911357,0.08310249,0.2733119,1.580246950791134,0.31390135,0.70175439,5.888889027557585,6.0263680147318555,-0.1374789871742701,5.592473853543831,sa3004704
Gabe Mosser,SEA,AAA,30,86,6.593023255813954,2.9302325581395348,2.25,0.9418604651162791,0.16981132,0.0754717,0.09433962,0.25588235,1.3372093023255813,0.29104478,0.65464896,4.813953488372093,4.925208770397097,-0.11125528202500412,5.473511694267739,sa3006834
Avery Short,ARI,AA,25,73.1,6.504545905688609,2.7000001872669697,2.40909091,1.5954546561123002,0.16408669,0.06811146,0.09597523,0.27303754,1.3909091873799542,0.29515419,0.68627451,4.050000280900455,5.737063110446152,-1.687062829545697,5.8411905587439525,sa3011712
Dylan MacLean,TEX,AA,23,71,7.47887323943662,2.915492957746479,2.56521739,1.5211267605633803,0.19536424,0.07615894,0.1192053,0.26618705,1.3661971830985915,0.29951691,0.71428571,4.690140845070423,5.199995104024108,-0.509854258953685,5.324787754575971,sa3014508
Adam Seminaris,PHI,AA,27,85,10.905882352941177,2.011764705882353,5.42105263,0.8470588235294118,0.29855072,0.05507246,0.24347826,0.23676012,1.1176470588235294,0.32380952,0.74324324,2.6470588235294117,3.2279496697818533,-0.5808908462524416,3.207984042868895,sa3015010
Josh Stephan,TEX,AAA,24,86.1,8.86100438304323,2.710424870107341,3.26923077,1.7722008766086461,0.22486772,0.06878307,0.15608466,0.27507163,1.4131274963807505,0.31983806,0.66205534,5.525096850603426,5.546920276977992,-0.021823426374565358,4.8480176727941116,sa3015286
Jose Acuna,CIN,"AA,AAA",23,94,9.191489361702128,3.925531914893617,2.34146341,1.148936170212766,0.25464191,0.10875332,0.14588859,0.1880597,1.1063829787234043,0.2246696,0.71428571,3.734042553191489,4.558807137671938,-0.8247645844804485,5.048411719057154,sa3015331
Aidan Curry,TEX,"A+,AA",23,72.2,12.013760626993397,4.334862081904834,2.77142857,1.114678821061243,0.31089744,0.11217949,0.19871795,0.23913043,1.3899081595948835,0.33529412,0.65995526,5.077981295945663,4.030130784573235,1.0478505113724284,4.366752082544318,sa3015334
Reynardo Cruz,CIN,A+,24,71.2,9.418605988060671,6.404652071881256,1.47058824,1.2558141317414226,0.23148148,0.15740741,0.07407407,0.22180451,1.5348839387950721,0.27071823,0.67961165,5.651163592836402,6.111140389831899,-0.4599767969954973,5.6685912040415545,sa3016032
