Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Michael Wacha","KCR",4,4,6,4.24315,12,12,0,0,,69,291,67,35,32,8,20,,2,55,7.23559,2.65151,2.72886,1.10331,0.189571,0.0694689,0.12010190635919571,0.250549,1.27503,0.287231,0.69111,,,4.0685,1.06324,0.969349,609.2899780273438,,,,,,,282.00000000000006,4.086956521739131,285,4.130434782608695,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Nathan Eovaldi","TEX",5,4,6,4.01228,12,12,0,0,,73,300,66,35,32,11,19,,3,71,8.76676,2.30428,3.80455,1.33797,0.235368,0.0618649,0.17350344732403755,0.237577,1.16781,0.281067,0.71194,,,3.98588,1.06003,1.07207,132.50999450683594,,,,,,,309.30000000000007,4.236986301369864,298,4.082191780821918,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Freddy Peralta","NYM",5,4,6,4.07347,13,13,0,0,,66,277,56,32,30,9,26,,3,69,9.45544,3.50849,2.69501,1.20379,0.248855,0.0923388,0.1565157026052475,0.226498,1.24766,0.27817,0.712649,,,4.0401,1.05923,0.870742,56.36000061035156,,,,,,,283.10000000000014,4.289393939393942,264,4,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Landen Roupp","SFG",4,3,6,3.68404,11,11,0,0,,59,252,54,26,24,5,24,,2,59,9.06196,3.69334,2.45359,0.801431,0.234411,0.095538,0.13887345045804977,0.236538,1.32209,0.298232,0.732538,,,3.56594,1.05489,1.08531,690.0999755859375,,,,,,,274.70000000000005,4.655932203389831,270,4.576271186440678,,,,,,,,,,,,,,,,,,,"Landen Roupp","30076",694738
"Parker Messick","CLE",4,3,6,3.7928,12,12,0,0,,61,260,57,28,26,7,20,,3,60,8.82829,2.99546,2.94723,1.08226,0.231548,0.0785646,0.15298302471637726,0.241348,1.2645,0.294087,0.735697,,,3.82885,1.05469,1.03363,294.17999267578125,,,,,,,268.1000000000001,4.395081967213116,265,4.344262295081967,,,,,,,,,,,,,,,,,,,"Parker Messick","31986",800048
"Trevor Rogers","BAL",4,4,6,4.16847,12,12,0,0,,62,265,61,31,29,7,20,,2,52,7.57357,2.88517,2.625,1.02742,0.197321,0.0751699,0.12215105444192886,0.249496,1.29729,0.291495,0.697909,,,3.95007,1.04647,0.776879,146.07000732421875,,,,,,,252.09999999999994,4.066129032258064,257,4.145161290322581,,,,,,,,,,,,,,,,,,,"Trevor Rogers","22286",669432
"Gavin Williams","CLE",4,4,7,3.64564,13,13,0,0,,69,291,59,31,28,9,26,,2,75,9.79331,3.38482,2.89331,1.18256,0.25882,0.0894547,0.16936510056257248,0.224889,1.22904,0.280409,0.754718,,,3.86559,1.04346,1.24116,144.74000549316406,,,,,,,312.5,4.528985507246377,294,4.260869565217392,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
"Taj Bradley","MIN",3,3,6,4.21528,12,12,0,0,,64,271,59,32,30,8,23,,2,65,9.13952,3.27493,2.79075,1.18503,0.238178,0.0853456,0.15283271670341492,0.239115,1.29033,0.291414,0.70637,,,3.94732,1.02843,0.874029,492.4599914550781,,,,,,,276.80000000000007,4.325000000000001,271,4.234375,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Cade Smith","CLE",3,1,0,2.68174,29,0,14,1,,29,114,21,9,8,2,8,,2,38,12.0535,2.56338,4.70219,0.634819,0.334377,0.0711109,0.263266459107399,0.201551,1.02335,0.296306,0.756509,,,2.36085,0.993553,0.988476,39.90999984741211,,,,,,,255.4,8.806896551724138,239,8.241379310344827,,,,,,,,,,,,,,,,,,,"Cade Smith","27867",671922
"Sean Manaea","NYM",3,4,5,4.51514,14,11,0,0,,74,312,69,40,37,11,23,,6,74,9.06529,2.78329,3.25704,1.33682,0.238713,0.0732915,0.1654214784502983,0.244511,1.24691,0.294554,0.675294,,,4.16974,0.991482,0.468333,423.3599853515625,,,,,,,293.9,3.971621621621621,288,3.891891891891892,,,,,,,,,,,,,,,,,,,"Sean Manaea","15873",640455
"Max Meyer","MIA",3,3,6,3.93028,12,12,0,0,,59,253,55,28,26,7,21,,3,60,9.07481,3.19132,2.84359,1.10979,0.236834,0.0832867,0.15354692190885544,0.241507,1.28448,0.296674,0.728347,,,3.90695,0.990054,0.980939,281.45001220703125,,,,,,,255.5,4.330508474576271,252,4.271186440677966,,,,,,,,,,,,,,,,,,,"Max Meyer","27474",676974
"David Peterson","CHC",4,3,5,3.67387,14,10,0,0,,65,276,57,29,27,6,26,,3,57,7.89261,3.57394,2.20838,0.779955,0.206668,0.0935834,0.11308419704437256,0.230817,1.27493,0.278627,0.720547,,,3.79252,0.982512,1.12877,452.0400085449219,,,,,,,286,4.4,274,4.2153846153846155,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
