Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Dario Reynoso,SFG,A,21,318,0.147798742,0.305031446,0.484536082,0.294339622,0.406940063,0.516981132,0.923921195,0.22264151,7.329178241574374,0.424050632,-0.8730627228505909,65.372394226892,15.89242460618735,0.4135431581491176,130.11311648279846,sa3021329
Edgleen Perez,PIT,A,20,306,0.120915032,0.150326797,0.804347826,0.292775665,0.382352941,0.349809885,0.732162826,0.05703422,1.024553565,0.344036697,-0.8240508669987321,45.202731445448464,2.5660142749715527,0.35761845968907174,104.80651903150162,sa3021330
Nick Peoples,WSN,A,21,250,0.156,0.344,0.453488372,0.180904522,0.333333333,0.316582914,0.649916247,0.135678392,6.354578416240936,0.272727272,-2.487580580636859,28.84559725622635,-5.470562528567505,0.3235243211788346,83.10339369101943,sa3021582
Hyungchan Um,KCR,A,22,252,0.126984126,0.226190476,0.561403508,0.235576923,0.352,0.394230769,0.746230769,0.158653846,6.2409800401305615,0.280821917,0.9332236228510737,35.80883948570383,1.2181504226316204,0.356075070142746,99.62085258462827,sa3021585
Esterling Rodriguez,PHI,CPX,20,169,0.147928994,0.195266272,0.757575757,0.197080291,0.321212121,0.350364963,0.671577084,0.153284672,5.242162727651197,0.217821782,-1.1928923120722175,19.554568708083988,-7.814964860536696,0.3282238772421172,70.90244181773592,sa3021599
Gerardo Rodriguez,BOS,A+,20,259,0.057915057,0.138996138,0.416666666,0.237288135,0.293436293,0.364406779,0.657843072,0.127118644,3.141314706246704,0.25,-1.0630896501243114,25.639247207351588,-11.638133437923528,0.2963879436485527,65.8650799681585,sa3021614
Dameury Pena,MIN,"A,A+",20,331,0.087613293,0.063444108,1.38095238,0.297945205,0.367781155,0.356164383,0.723945538,0.058219178,6.593762586862832,0.315018315,-2.2365252673625946,45.83301880176856,-0.7315016168753923,0.3479299051005666,100.85385148137607,sa3021624
Ramon Ramirez,KCR,A+,21,329,0.106382978,0.215805471,0.492957746,0.295774647,0.379204892,0.5,0.879204892,0.204225353,5.828130889595112,0.35609756,0.20399123802781105,59.250373538577215,10.843824829899921,0.3959980001872468,123.92925072658896,sa3021637
Stiven Flores,CHW,A,20,261,0.084291187,0.084291187,1,0.298701298,0.363984674,0.372294372,0.736279046,0.073593074,1.4788433031249624,0.314285714,-1.0171109177172184,36.55487854809749,0.7288077327727096,0.35358764796421444,99.78871078107284,sa3021638
Asbel Gonzalez,KCR,A+,20,338,0.091715976,0.23964497,0.382716049,0.28169014,0.365853658,0.341549295,0.707402953,0.059859155,8.306613457955121,0.37745098,3.926799666136503,44.6071771496525,-5.1235628610858654,0.34156380830014627,91.20275153520848,sa3021639
